book,about_auth
30589391661,"A graduate of Mount Holyoke College, Sherri lives in Western Massachusetts with her nearly-perfect husband, and their charming actor son, amazing violinist daughter, a crafty corgi (Pembroke Welsh), and a very special pug. She has written historical romance for Dell under the name Sherri Browning and contemporary romance for Kensington under the name Sherri Erwin.                        "
30699395249,"A native of Oregon, Diana Marcellas lives in a small resort town, Pinetop-Lakeside, in northeastern Arizona. She recently left her dayjob as director of Legal Aid for the White Mountain Apache to reenter private law practice, and continues to teach history and legal advocacy part-time at the local community college. A fan of SF and fantasy since sixth grade, she began writing SF and fantasy during law school over twenty years ago, published several science-fiction novels in the early 90s, and is currently writing fantasy forTtor. Her first book in the witch of two suns series, Mother Ocean, Daughter Sea, appeared in September 2001, and the second book, The Sea Lark's Song, was published in December 2002, with the third book, Twilight Rising, due out in August 2004. She is currently working on the next book in her series as well as other writing projects. My life is an interesting combination, she says, of the very prosaic and people-oriented practice of law and the more solitary daydreaming of writing fantasy. My Apache friends are often after me to write Apache Tony Hillerman mysteries, but my first love is fantasy and SF, which I began reading as a girl and have never stopped. I first thought up my shari'a witch, Brierley Mefell, while in college, and she has lived in my imagination for over thirty years, much beloved, always fascinating. Other characters have appeared over the years to join the collection of people in my head, but Bri has been with me since the beginning and hers is a story I always wanted to write. Now, thanks to Tor, I have the wonderful privilege of living in Brierley's world, as least vicariously, as I write her ongoing story. Diana's interests include medieval history, practicing Wicca as a solitary witch, Apache tradition and culture, Zebra finches (she has a flock of fourteen), and needlework.                         "
22457125901,"A veteran of the American Civil War who fought at Shiloh and Chickamauga in the Union ranks, Bierce became one of America's best-known writers and journalists, admired for his insolent, entertaining and sometimes courageous columns. In 1913 he set off for Mexico, then in the throes of revolution, and was never seen again. Ralph Steadman is the author of many illustrated books including Sigmund Freud, I Leonardo, The Big I Am, The Scar-Strangled Banner, Alice and Animal Farm. His most recent publication is the novel, Doodaaa.                        "
987184359,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
30431106680,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
30286630270,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
21053493034,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
30651524497,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
30469281974,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
30631113178,"About the Author: E.A. Wallis Budge was born in Bodmin, Cornwall to Mary Ann Budge, a young woman whose father was a waiter in a Bodmin hotel. Budge's father has never been identified. Budge left Cornwall as a young man, and eventually came to live with his grandmother and aunt in London.Budge became interested in languages before he was ten years old, but given that he left school at the age of twelve in 1869 to work as a clerk at the firm of W.H. Smith, he studied Hebrew and Syriac in his spare time with the aid of a volunteer tutor named Charles Seeger. Budge became interested in learning the ancient Assyrian language in 1872, when he also began to spend time in the British Museum. Budge's tutor introduced him to the Keeper of Oriental Antiquities, the pioneer Egyptologist Samuel Birch, and Birch's assistant, the Assyriologist George Smith. Smith helped Budge occasionally with his Assyrian, whereas Birch allowed the young man to study cuneiformtablets in his office and obtained books of Middle Eastern travel and adventure such as Sir Austen Henry Layard's Nineveh and Its Remains for him to read from the British Library.From 1869 to 1878 Budge spent whatever free time he had from his job at W.H. Smith studying Assyrian, and he often walked down to St. Paul's Cathedral over his lunch break to study during these years. When the organist of St. Paul's, John Stainer, noticed Budge's hard work, he decided to help the boy to realize his dream of working in a profession that would allow him to study Assyrian. Stainer contacted Budge's employer, the Conservative Member of Parliament W.H. Smith, as well as the former Liberal Prime Minister W.E. Gladstone, and asked them to help his young friend. Both Smith and Gladstone agreed to help Stainer to raise money for Budge to attend Cambridge University, where Budge later studied Semitic languages, including Hebrew, Syriac, Ethiopic and Arabic from 1878 to 1883, continuing to study Assyrian on his own. Budge worked closely during these years with the famous scholar of Semitic languages William Wright, among others. (Quote from en.wikipedia.org)                        "
