book,author
30726857697,"Orwell, George"
6289006299,"Burroughs, Edgar Rice"
30354314363,Oscar Wilde
30428585060,Lin Carter
30636277564,"Derleth, August"
14883183609,August Derleth
822212931,Margaret Alice Murray
30418872003,Lin Carter
30287631422,Betty Swinford
1550125451,"Bulfinch, Thomas"
30697356726,Bram Stoker
30137469766,"BRACKETT, LEIGH"
189472654,"Carter, Lin"
22916774504,"DERLETH, August"
22422624086,Ambrose Bierce
30662833572,"Donnelly, Ignatius"
30614776407,"Bulfinch, Thomas"
30737952910,"Lang, Andrew"
11380859030,"Carter, Lin"
30694937015,"Christie, Agatha"
30671520483,Jane Austen
30140241473,Eth Clifford
30615204321,Ignatius Donnelly
823293040,"Bulfinch, Thomas"
30362456248,Charles Dickens
30665742486,Edgar Rice Burroughs
30265372055,ignatius donnelly
30712311881,Bierce Ambrose
30015358564,Charles Dickens
30749797369,"Carter, Lin"
30095683067,August Derleth
30652067418,Andrew Lang
30028993415,Fritz Leiber
30359738117,"Brackett, Leigh"
30329763735,William Shakespeare
30737698817,"Burroughs, Edgar Rice"
30686232758,Ralph Waldo Emerson
30737743689,"Dickinson, Emily"
30320983832,"Carter, Lin"
30137478754,"CARTER, LIN"
6774804172,"Carter, Lin"
22648683565,August Derleth
22494417343,"Brackett, Leigh"
8246190622,"Dickinson, Emily"
30604786599,"Burroughs, Edgar Rice"
22513525406,"BULFINCH, Thomas"
5832979961,"Brackett, Leigh"
30381402514,"Carter, Lin"
30137477804,"Carter, Lin"
30686147550,"Burroughs, Edgar Rice"
30037449660,"Blavatsky, Helena Petrovna"
30407712304,"Bulfinch, Thomas"
30736082254,"Carter, Lin"
30648474659,Charles Dickens
30137491656,"Derleth, august"
30733118490,"Dickens, Charles"
30053403427,"Austen, Jane"
30602634771,August Derleth
19062008056,"Derleth, August"
10436241196,"Bulfinch, Thomas"
30739474960,agatha christie
30137473206,"BRACKETT, LEIGH"
30644172242,"Blavatsky, Helena Petrovna"
30739950352,"Dickens, Charles"
30121598318,"Dickens, Charles"
30575915990,James Gelsey
30717116979,"Dickinson, Emily"
30203092696,Stephanie Emily Dickinson
30744988985,Roger Zelazny
30310720384,"Burroughs, Edgar Rice"
30669036419,Agatha Christie
30704861605,"Doyle, Arthur Conan"
22615210486,Leigh Brackett
30531346651,Arthur Conan Doyle
30377938178,Clare Winger Harris
30637134911,"Brackett, Leigh"
30709737079,"Burroughs, Edgar Rice"
30740400350,Jane Austen
30735397395,"Christie, Agatha"
30556606540,Edgar Rice Burroughs
30577545886,"SparkNotes, Jane Austen"
30716428273,"Bierce, Ambrose"
19095751319,"Brackett, Leigh"
30723439423,Arthur Conan Doyle
30749307377,Lin Carter
30415626040,"Bulfinch, Thomas"
114761838,"Derleth, August"
684210019,"Derleth, August"
22420062805,"Brackett, Leigh"
3001480206,"Andersen, Poul"
30667604154,"Dickinson, Emily"
30281998593,August Derleth
30714902240,Dover Thrift Editions
30736083255,"Austen, Jane"
30736520672,"Bulfinch, Thomas"
1284941630,BRACKETT Leigh
30740021376,"Austen, Jane"
2337216202,"Derleth, August"
30651516898,Agatha Christie
19016533949,August Derleth
22789582708,"Burroughs, Edgar Rice"
30027561735,"Christie, Agatha"
30711417302,Leigh Brackett
30621293980,Charles Dickens
30150294488,Helena Petrovna Blavatsky
30694833960,Edgar Rice Burroughs
30230577991,"Brackett, Leigh"
30737438311,"Austen, Jane"
22457824068,IGNATIUS DONNELLY
21337423311,Thomas Bulfinch
30364452564,August Derleth
7059163101,Thomas Bulfinch
30571389945,Oscar Wilde
30443444031,Thomas Bulfinch
12266457281,"Burroughs, Edgar Rice"
30685407896,"Carter, Lin"
30742905930,Ignatius Donnelly
18670992715,Thomas Bulfinch
30259804923,LEIGH BRACKETT
4800293611,"Carter, Lin"
10523283000,"Bierce, Ambrose"
30582626647,"Brackett, Leigh"
30580093443,Lin Carter
30587436982,"Bulfinch, Thomas"
30575242715,Charles Dickens
46718605,"Carter, Lin"
30599151486,"Burroughs, Edgar Rice"
22420041337,"Carter, Lin"
30588282465,August Derleth
30590799112,Emily Dickinson
344406900,"Derleth, August"
11028834911,"Bulfinch, Thomas"
30137492539,"DERLETH, AUGUST"
1329938320,"Derleth, August"
30740123224,"Doyle, Arthur Conan"
30694611592,"Doyle, Arthur Conan"
22408985165,"Carter, Lin"
30197432915,"Derleth, August"
30457658985,Carol Costello
30652282012,"Dickinson, Emily"
30532009766,"BULFINCH, THOMAS"
30740925296,"Doyle, Arthur Conan"
