,book,binding
0,30577519075,Paperback
1,30726857697,Paperback
2,6289006299,Mass Market Paperback
3,30354314363,Mass Market Paperback
4,30428585060,Mass Market Paperback
5,30636277564,Soft Cover
6,30473751592,Paperback
7,30337423703,Paperback
8,14883183609,Paperback
9,98082475,Soft cover
10,30723122513,
11,823826796,Mass Market Paperback
12,822212931,Soft cover
13,30095710798,Paperback
14,30418872003,Paperback
15,30632395990,Paperback
16,30287631422,Paperback
17,1550125451,Mass Market Paperback
18,24246484,Hardcover
19,30266962238,Leather Bound
20,30697356726,Paperback
21,18385031906,Soft cover
22,30305442772,Paperback
23,10888942506,Soft cover
24,30137477279,Paperback
25,30137469766,Paperback
26,189472654,Soft cover
27,22916774504,Hardcover
28,22422624086,Soft Cover
29,30662833572,Hardcover
30,30614776407,Mass Market Paperback
31,30737952910,
32,11380859030,Mass-market paperback
33,30694937015,Hardcover
34,30671520483,Mass Market Paperback
35,30140241473,
36,30554055674,Single Issue Magazine
37,30615204321,Paperback
38,823293040,Hardcover
39,30000214918,Standard Paperback
40,30362456248,Library Binding
41,30665742486,Mass Market Paperback
42,30665976502,Paperback
43,22543314164,Soft Cover
44,30699156943,Paperback
45,30265372055,Leather Bound
46,22879541801,
47,30712311881,
48,30015358564,Mass Market Paperback
49,30287592558,
50,30749797369,
51,30697816940,Paperback
52,30570556952,
53,30095683067,Hardcover
54,30652067418,Paperback
55,30028993415,
56,30359738117,Hardcover
57,30329763735,Paperback
58,30737698817,
59,30686232758,Paperback
60,30425838269,SingleIssueMagazine
61,30737743689,
62,30183179393,Hardcover
63,30320983832,Mass Market Paperback
64,30137478754,Paperback
65,6774804172,
66,22648683565,Mass Market Paperback
67,22494417343,Paperback
68,8246190622,Hardcover
69,30604786599,Mass Market Paperback
70,22513525406,
71,5832979961,Mass Market Paperback
72,2795338706,Mass Market Paperback
73,30381402514,Mass Market Paperback
74,30429762138,Hardcover
75,998637035,SingleIssueMagazine
76,2671035441,Mass Market Paperback
77,3654291430,Original Printed Wrappers
78,30137539540,
79,30137477804,Paperback
80,30686147550,Mass Market Paperback
81,30699880571,Paperback
82,30037449660,Hardcover
83,30407712304,No Binding
84,30282570146,Pulp
85,30737194530,
86,30736082254,Paperback
87,30648474659,Mass Market Paperback
88,30137491656,Paperback
89,30406109942,Soft cover
90,30733118490,
91,30053403427,
92,30602634771,Cloth
93,19062008056,Hardcover First Printing
94,30137494440,Paperback
95,18458388866,SingleIssueMagazine
96,10436241196,Hardcover
97,30739474960,
98,30137473206,Paperback
99,30739083505,
100,30644172242,
101,30739950352,
102,30121598318,
103,30575915990,Paperback
104,30717116979,Paperback
105,30203092696,Paperback
106,30744988985,Hardcover
107,30310720384,Mass Market Paperback
108,30647132083,Hardcover
109,30669036419,Mass Market Paperback
110,30268656684,Leather Bound
111,30704861605,
112,22615210486,Soft cover
113,30531346651,Paperback
114,607648076,Cloth
115,30708361006,Soft Cover
116,30266983201,Leather Bound
117,30377938178,Paperback
118,30699305106,Paperback
119,30699458808,Paperback
120,30637134911,Mass Market Paperback
121,30709737079,
122,30309832356,Soft cover
123,22299303321,Side-stapled
124,30595966061,Mass Market Paperback
125,30568793746,
126,30740400350,Mass Market Paperback
127,30735397395,
128,30556606540,Mass Market Paperback
129,30577545886,Paperback
130,22769487174,
131,30716428273,Hardcover
132,30127853508,PAP
133,30733293954,
134,19095751319,Mass Market Paperback
135,30723439423,Leather Bound
136,15362937128,br.cop.ill.a col.
137,30749307377,
138,30415626040,Hardcover
139,30712018015,Soft Cover
140,10301020323,Soft cover
141,30275974063,Paperback
142,114761838,Hardcover
143,684210019,Hardcover
144,22420062805,Wraps
145,3001480206,Cloth
146,30666564546,Hardcover
147,30228415401,Hardcover
148,14407574795,Soft cover
149,30667604154,Paperback
150,30687961273,Paperback
151,30734501872,Paperback
152,30733616052,Paperback
153,30281998593,MASS MARKET PAPERBACK
154,30714902240,Paperback
155,30736083255,Mass Market Paperback
156,30736520672,Hardcover
157,22460401805,Soft Cover
158,1284941630,Paperback
159,30740021376,
160,30324233101,
161,30356009620,Paperback
162,2337216202,Hardcover
163,30651832922,Paperback
164,544738317,Hardcover
165,30651516898,Paperback
166,22719066369,Soft cover
167,19016533949,Paperback
168,22789582708,Mass Market Paperback
169,30027561735,Paperback
170,30711417302,Mass Market Paperback
171,30137495559,
172,30621293980,Paperback
173,30150294488,Hardcover
174,30694833960,Mass Market Paperback
175,30230577991,
176,30737438311,
177,22457824068,Hardcover
178,21337423311,Hardcover
179,22552642457,Hardcover
180,30364452564,Hardcover
181,30711207118,Mass Market Paperback
182,7059163101,Hardcover
183,30571389945,Paperback
184,30466178294,Hardcover
185,30687807982,Paperback
186,30322074022,Paperback
187,22665761592,Soft Cover
188,30443444031,Hardcover
189,12266457281,Mass Market Paperback
190,30271292761,Leather Bound
191,30685407896,Mass Market Paperback
192,30661431097,Paperback
193,1115359369,SingleIssueMagazine
194,30604210482,Paperback
195,30742905930,Hardcover
196,30268484086,Leather Bound
197,30005420507,Hardcover
198,30268503328,Leather Bound
199,18670992715,Mass Market Paperback
200,30259804923,
201,30618024753,Paperback
202,30738811879,
203,4800293611,Mass Market Paperback
204,10523283000,Softcover
205,30110201905,
206,11144279544,
207,30582626647,Paperback
208,30580093443,Paperback
209,30057305211,Paperback
210,1239335062,Paperback
211,30737970613,
212,30747390092,Hardcover
213,30587436982,
214,30109124174,
215,30575242715,Paperback
216,30663351563,Hardcover
217,46718605,Mass Market Paperback
218,30599151486,Mass Market Paperback
219,22420041337,Wraps
220,30588282465,Paperback
221,30590799112,Hardcover
222,22299303250,Side-stapled
223,344406900,Hardcover
224,11028834911,Hardcover
225,30591014746,softcover
226,30137492539,Hardcover
227,1329938320,Paperback
228,30740123224,
229,30694611592,
230,22408985165,Mass Market Paperback
231,30197432915,Hardcover
232,30457658985,Paperback
233,30652282012,
234,30532009766,Hardcover
235,30740925296,
236,22859119226,Mass Market Paperback
237,30435374169,Paperback
238,30697302406,Paperback
239,30646187673,Soft Cover
240,30626768990,Hardcover
241,30716996565,Paperback
242,30509889426,Paperback
243,21050369474,Hardcover
244,40813675,Mass Market Paperback
245,30415047848,Hardcover
246,30637735652,
247,30745968139,
248,30509620097,Soft cover
249,30231736183,Soft Cover
250,30357780594,Soft cover
251,30043939509,Hardcover
252,30523278020,
253,633199459,Paperback
254,30577492549,Hardcover
255,30137500277,
256,30749640801,Paperback
257,30690843618,Paperback
258,30698085470,Mass Market Paperback
259,30728851749,Mass Market Paperback
260,30709066755,Hardcover
261,9393539240,Mass Market Paperback
262,30688895014,
263,14871608608,Paperback
264,30435106493,Paperback
265,30739086975,
266,17764494169,Soft cover
267,5064367118,Mass Market Paperback
268,25847721,Hardcover
269,20175045909,Hardcover
270,30029272789,Mass Market Paperback
271,30461486152,Paperback
272,30699613723,Paperback
273,19739115009,Hardcover
274,30659362866,Paperback
275,30473471035,Hardcover
276,30694769362,Paperback
277,22401195877,Soft cover
278,22843857327,Hardcover
279,30722927985,Hardcover
280,30486448234,Hardcover
281,30741543462,Mass Market Paperback
282,30725378274,Soft cover
283,30585401520,Mass Market Paperback
284,30715437196,Mass Market Paperback
285,30137503012,
286,30711577499,Paperback
287,1960367911,Paperback
288,30573251856,Mass Market Paperback
289,30743477989,
290,30196014724,Hardcover
291,30737293692,
292,30704999104,Paperback
293,4818056145,Magazine
294,30723751050,
295,30717417732,Paperback
296,30725912905,Soft cover
297,30696231202,HRD
298,30272458924,Leather Bound
299,30247698777,
300,1302998503,Hardcover
301,30267959290,Leather Bound
302,2795338714,Mass Market Paperback
303,21778647822,Soft cover
304,30137537842,
305,30699234738,Hardcover
306,13775122406,
307,1173875456,Soft cover
308,30152958171,Mass Market Paperback
309,30749579524,Hardcover
310,30723005572,Paperback
311,59774732,Cloth
312,30137481206,Paperback
313,30549198023,
314,30361293933,Mass Market Paperback
315,30367742933,Paperback
316,30711004495,Mass Market Paperback
317,21815712871,Paperback
318,10809012555,Hardcover
319,20255302976,Soft cover
320,19176555837,Hardcover
321,11484784088,Trade Paperback
322,30408501711,Hardcover
323,30665138860,Mass Market Paperback
324,30537882309,Soft Cover
325,11230005921,Hardcover
326,30641107562,
327,30612308762,Paperback
328,1332186599,Hardcover
329,30219324066,Paperback
330,30240773316,Hardcover
331,2808967626,
332,16601861016,Paperback
333,30627202852,Paperback / softback
