,book
0,30577519075
1,30726857697
2,6289006299
3,30354314363
4,30428585060
5,30636277564
6,30473751592
7,30337423703
8,14883183609
9,98082475
10,30723122513
11,823826796
12,822212931
13,30095710798
14,30418872003
15,30632395990
16,30287631422
17,1550125451
18,24246484
19,30266962238
20,30697356726
21,18385031906
22,30305442772
23,10888942506
24,30137477279
25,30137469766
26,189472654
27,22916774504
28,22422624086
29,30662833572
30,30614776407
31,30737952910
32,11380859030
33,30694937015
34,30671520483
35,30140241473
36,30554055674
37,30615204321
38,823293040
39,30000214918
40,30362456248
41,30665742486
42,30665976502
43,22543314164
44,30699156943
45,30265372055
46,22879541801
47,30712311881
48,30015358564
49,30287592558
50,30749797369
51,30697816940
52,30570556952
53,30095683067
54,30652067418
55,30028993415
56,30359738117
57,30329763735
58,30737698817
59,30686232758
60,30425838269
61,30737743689
62,30183179393
63,30320983832
64,30137478754
65,6774804172
66,22648683565
67,22494417343
68,8246190622
69,30604786599
70,22513525406
71,5832979961
72,2795338706
73,30381402514
74,30429762138
75,998637035
76,2671035441
77,3654291430
78,30137539540
79,30137477804
80,30686147550
81,30699880571
82,30037449660
83,30407712304
84,30282570146
85,30737194530
86,30736082254
87,30648474659
88,30137491656
89,30406109942
90,30733118490
91,30053403427
92,30602634771
93,19062008056
94,30137494440
95,18458388866
96,10436241196
97,30739474960
98,30137473206
99,30739083505
100,30644172242
101,30739950352
102,30121598318
103,30575915990
104,30717116979
105,30203092696
106,30744988985
107,30310720384
108,30647132083
109,30669036419
110,30268656684
111,30704861605
112,22615210486
113,30531346651
114,607648076
115,30708361006
116,30266983201
117,30377938178
118,30699305106
119,30699458808
120,30637134911
121,30709737079
122,30309832356
123,22299303321
124,30595966061
125,30568793746
126,30740400350
127,30735397395
128,30556606540
129,30577545886
130,22769487174
131,30716428273
132,30127853508
133,30733293954
134,19095751319
135,30723439423
136,15362937128
137,30749307377
138,30415626040
139,30712018015
140,10301020323
141,30275974063
142,114761838
143,684210019
144,22420062805
145,3001480206
146,30666564546
147,30228415401
148,14407574795
149,30667604154
150,30687961273
151,30734501872
152,30733616052
153,30281998593
154,30714902240
155,30736083255
156,30736520672
157,22460401805
158,1284941630
159,30740021376
160,30324233101
161,30356009620
162,2337216202
163,30651832922
164,544738317
165,30651516898
166,22719066369
167,19016533949
168,22789582708
169,30027561735
170,30711417302
171,30137495559
172,30621293980
173,30150294488
174,30694833960
175,30230577991
176,30737438311
177,22457824068
178,21337423311
179,22552642457
180,30364452564
181,30711207118
182,7059163101
183,30571389945
184,30466178294
185,30687807982
186,30322074022
187,22665761592
188,30443444031
189,12266457281
190,30271292761
191,30685407896
192,30661431097
193,1115359369
194,30604210482
195,30742905930
196,30268484086
197,30005420507
198,30268503328
199,18670992715
200,30259804923
201,30618024753
202,30738811879
203,4800293611
204,10523283000
205,30110201905
206,11144279544
207,30582626647
208,30580093443
209,30057305211
210,1239335062
211,30737970613
212,30747390092
213,30587436982
214,30109124174
215,30575242715
216,30663351563
217,46718605
218,30599151486
219,22420041337
220,30588282465
221,30590799112
222,22299303250
223,344406900
224,11028834911
225,30591014746
