book,condition
18075627086,fair
30718106324,NULL
30087530515,NULL
20132274634,good
5971880238,good
248689686,good
10335068515,good
30121598318,fair
30364452564,fair
18670992715,fair
30591014746,fair
20786306689,fair
7195463142,fair
30644524153,fair
18356462011,fair
3401872846,fair
30162462378,fair
19058327481,fair
30706474914,fair
30430422077,fair
30663106817,fair
15517305565,fair
30504798481,fair
14123108877,fair
30051995250,fair
30749367213,fair
30749512889,fair
30744360452,fair
30688818396,fair
18699473879,fair
30264150246,fair
12736795864,fair
30637125545,fair
6928086771,fair
30727289379,fair
4584148713,fair
30652727595,fair
30533308854,fair
19300049014,fair
6455009425,fair
30608057635,fair
30364456258,fair
17543362116,fair
30414561354,fair
30745138508,fair
30449756429,fair
30712145369,fair
30287591957,fair
30746365061,fair
22416900288,fair
30740588519,fair
22494388257,fair
30688829708,fair
30688696833,fair
30580530341,fair
30600447830,fair
30689112244,fair
30736375958,fair
30714672719,fair
22786632854,fair
21562987650,fair
7262375300,fair
30706429804,fair
21660993446,fair
30687553204,fair
30749367201,fair
30690901591,fair
30746230146,fair
30449352548,fair
30751987847,fair
30588787737,fair
30749371076,fair
22538662085,fair
30494989216,fair
30510217486,fair
30293395024,fair
20786306698,fair
21664689770,fair
30517447653,fair
30505754188,fair
30034648573,fair
19835626653,fair
30747818113,fair
1310569963,fair
12736461195,fair
30601999616,fair
22846062539,fair
30423413037,fair
30751049558,fair
30716590795,fair
30582680275,fair
30715362761,fair
30591479801,fair
30748350269,fair
30510625830,fair
30051758696,fair
21771176815,fair
13274244915,fair
30350245801,fair
30608552149,fair
30499184971,fair
30101071503,fair
6952306992,fair
30607962136,fair
30019167231,fair
30705594727,fair
30706044931,fair
16312342810,fair
30713314572,fair
30588794337,fair
30735321433,fair
22044554945,fair
30474681139,fair
30743853192,fair
19593306436,NULL
22559624404,NULL
30645104151,NULL
30616002510,NULL
30421681209,NULL
30645097432,NULL
30645520064,NULL
17289920046,NULL
30228861718,NULL
17289987009,NULL
30645098400,NULL
30193190548,NULL
30138783301,NULL
6942100761,NULL
15525845142,NULL
15525884513,NULL
15525798769,NULL
15525170056,NULL
30570556952,new
30644172242,new
30568793746,new
30324233101,new
30742905930,new
30663351563,new
30738770497,new
30643746337,new
30750290164,new
30696513007,new
8451604478,new
30323616542,new
30425046635,new
30746033606,new
2795338710,new
30740199431,new
30575684620,new
30324835559,new
20673321153,new
30746115884,new
30536903962,new
30283016423,new
30723874912,new
30324134990,new
30740668863,new
30295220403,new
30696276793,new
30610078216,new
30514506070,new
30599717073,new
30642352456,new
30418122151,new
6671606916,new
30670159069,new
30606543976,new
30705497395,new
30642721549,new
30323050357,new
30619972103,new
30644604902,new
30704942987,new
827315172,new
30324002434,new
30567638790,new
30642948498,new
30606745095,new
30691028347,new
30745733592,new
30568328824,new
30587581680,new
30325429506,new
202545686,new
30555544319,new
30522166692,new
30368858372,new
30643988229,new
30643012111,new
30548276029,new
30642550950,new
30734191799,new
30733020080,new
30282662798,new
30280497814,new
30279948442,new
30325601677,new
30644030833,new
30614173646,new
13903476720,new
30620148430,new
30718607727,new
30282129974,new
30734707377,new
30658750875,new
30280359439,new
30664638427,new
30523638638,new
30522905011,new
30663208990,new
30748166771,new
30324413764,new
30382586132,new
30531169630,new
30280143226,new
30583466085,new
19356971628,new
30556291864,new
30720878133,new
30324807373,new
30652436573,new
30282944830,new
30505389765,new
30550577736,new
30326127014,new
30720803300,new
30643938470,new
30453788928,new
30364548410,new
30567122296,new
30522310911,new
30644515655,new
30745151089,new
4435096316,new
30643689028,new
30325013562,new
30285725170,new
30324125511,new
30521910496,new
30324668932,new
30643188379,new
30587573715,new
30453612123,new
30745933812,new
30322662028,new
5192727387,new
30642690008,new
30322380092,new
30662650258,new
30322295386,new
30643948175,new
30324756205,new
30712761028,new
22882317304,new
30611848959,new
30662352921,new
22585982488,new
30325048197,new
30280312483,new
19053423360,new
30569541332,new
30516943107,new
30522211751,new
30624652093,new
30643323655,new
30750685083,new
30014240939,new
30323999078,new
30738058151,new
30746206212,new
30643167208,new
30282053998,new
30614276809,new
30568888607,new
30282877929,new
30644307300,new
30685033181,new
2795338708,new
30671528871,new
30642862350,new
30324271708,new
30514497193,new
30647165025,new
30341841626,new
30732915249,new
30748302051,new
21220274992,new
30666540443,new
30618439148,new
30324597268,new
30541650803,new
30325069136,new
30543522030,new
30324790530,new
30613044113,new
30280906557,new
30616841046,new
30753825498,new
22823885732,new
30325278689,new
30642184331,new
30642838199,new
30738340588,new
30334628483,new
30562090497,new
30614281260,new
30644247355,new
30282663568,new
30749302860,new
30609244214,new
30231799392,new
30401811069,new
30620475961,new
30324946175,new
22785454198,NULL
30741967055,new
30323993668,new
30568165273,new
30323945297,new
30282054549,new
8451604477,new
30346129427,new
30642451834,new
30562026647,new
30740141183,new
80381323,new
30644167225,new
30642237193,new
30536904043,new
30642779805,new
30641153113,new
30285714688,new
9693326998,new
30619972096,new
30280176887,new
30642149224,new
30696676891,new
30326240665,new
30325201974,new
22585982483,new
30643181521,new
30652509519,new
30644484535,new
30735710630,new
30567198187,new
30326708578,new
30280648771,new
30569440588,new
30569371911,new
14958342120,new
30668127832,new
30643778683,new
30280811195,new
30665096960,new
30526131483,new
12032400284,new
30718353029,new
30663316237,new
30282962729,new
30475682212,new
30643525764,new
30723751050,NULL
30723750082,NULL
5809421567,NULL
30292993144,NULL
22416893436,NULL
13489101832,NULL
30292851723,NULL
13489136959,NULL
22416893423,NULL
30732345148,NULL
13489110128,NULL
30602369998,NULL
30427412476,NULL
22413245721,NULL
17382710157,NULL
22413245874,NULL
4378991017,NULL
21815712871,NULL
30467090294,NULL
1008582606,NULL
17116525739,NULL
4991810375,NULL
17116496377,NULL
17116491009,NULL
30528876994,NULL
30651406824,NULL
10063965944,NULL
22639743684,NULL
22586406070,NULL
883261512,NULL
7770564510,NULL
30179160581,NULL
1308458766,NULL
22523931843,NULL
13911965627,NULL
21733240388,NULL
4509639548,NULL
9477585662,NULL
30636759684,NULL
30085240164,NULL
30085227243,NULL
22521759448,NULL
21957701674,NULL
22786155461,NULL
17686962698,NULL
21733239985,NULL
5985387028,NULL
22009812489,NULL
30085240163,NULL
22786801356,NULL
16871413041,NULL
22520277504,NULL
22838670861,NULL
30669611792,NULL
22517239430,NULL
9477585836,NULL
21998624487,NULL
21998624495,NULL
30542291619,NULL
11157759558,NULL
11886995937,NULL
30532341700,NULL
3545689081,NULL
863170239,NULL
863170238,NULL
30520589617,NULL
30644436298,NULL
30721615370,NULL
16426233795,NULL
863170290,NULL
7616811988,NULL
30692770710,NULL
30056368851,NULL
2499489018,NULL
2195879888,NULL
22620324936,NULL
22620328368,NULL
22620328363,NULL
22620328373,NULL
22620328357,NULL
22620324926,NULL
22620328193,NULL
30615204321,NULL
30573818208,NULL
30454135628,NULL
30583281088,NULL
30583277128,NULL
30583274628,NULL
30583278193,NULL
30451406786,NULL
30583522693,NULL
30744206069,NULL
30521447477,NULL
30468193987,NULL
30583277877,NULL
725518600,NULL
725518601,NULL
22383660175,NULL
22593275020,NULL
30375547013,NULL
7290585690,NULL
21365583773,NULL
30606858717,NULL
30640501911,NULL
30069622902,NULL
17785004806,NULL
30606868134,NULL
30619179589,NULL
22448796696,NULL
15362937128,NULL
16519215375,NULL
22701889744,NULL
22701889737,NULL
30594229749,NULL
22737143628,NULL
22915406832,NULL
20247831133,NULL
1284941630,NULL
30334965305,NULL
30584259903,NULL
1284941646,NULL
2099463407,NULL
18243464574,NULL
6009877403,NULL
30144563765,very good
30034188559,very good
16303999,NULL
30310720384,fair
30309832356,fair
22769487174,fair
30723439423,fair
10301020323,fair
30027561735,fair
7059163101,fair
30110201905,fair
30509889426,fair
30717417732,fair
30152958171,fair
2808967626,fair
30709623518,fair
30695379950,fair
22870036444,fair
30734796063,fair
733629620,fair
30592961305,fair
30635726921,fair
30331824529,fair
744381506,fair
18817841822,fair
30651729029,fair
30231752057,fair
30359727277,fair
22396068331,fair
30734269861,fair
21435012672,fair
14094264197,fair
30571085212,fair
30337235707,fair
30734270760,fair
22414932201,fair
30747195415,fair
30443504726,fair
30034628224,fair
30730221953,fair
1291114339,fair
30722962571,fair
5467347098,fair
30662306246,fair
30592234846,fair
22414932200,fair
30707495609,fair
30310713855,fair
30313195870,fair
30665862953,fair
14781989509,fair
30429723787,fair
30719364395,fair
18369566244,fair
30735331325,fair
30538101288,fair
30741989918,fair
30109149713,fair
30742101855,fair
30367168499,fair
30666176752,fair
30665131907,fair
10042376522,fair
30548120455,fair
9177465481,fair
30750813660,fair
12059030439,fair
30556625638,fair
22845474495,fair
12582942135,fair
1083466282,fair
30740677926,fair
30310719623,fair
30310717455,fair
30707076242,fair
15039149220,fair
30591576566,fair
77404867,fair
30357684266,fair
30642465549,fair
30224374603,fair
30404725968,fair
1428681247,fair
30745478103,fair
30553673902,fair
30745124005,fair
30359733132,fair
30744676148,fair
30727245265,fair
22469282967,fair
30314116259,fair
30535979472,fair
30525203317,fair
22920926346,fair
30549948758,fair
30535334475,fair
30661486066,fair
30129295518,fair
17890205038,fair
30721865990,fair
30696000331,fair
19145849020,fair
22882376833,fair
20760903213,fair
30732382415,fair
30566395557,fair
30422404972,fair
12799998270,fair
22900738198,fair
30655650559,fair
30566492781,fair
30368911828,fair
30508635548,fair
30554180419,fair
13036750433,fair
22865038030,fair
22769487156,fair
30667361573,fair
16956632895,fair
30551320883,fair
30612517738,fair
30091810829,fair
30452966296,fair
30712370758,fair
22769487173,fair
30716174416,fair
30521955148,fair
14781998780,fair
22883547774,fair
1285575094,fair
1262141130,fair
30715373943,fair
30244348585,fair
21467959943,fair
19682808577,fair
30646101060,fair
30745149163,fair
30717061836,fair
22734094801,fair
30706819367,fair
22494507645,fair
30745899569,fair
30616873620,fair
2709164695,fair
30531690291,fair
30404065798,fair
30671474755,fair
15527906473,fair
30741216439,fair
30687537405,fair
30581538288,fair
30669731307,fair
3582833122,fair
13133944231,fair
30709426961,fair
22921303328,fair
6505706080,fair
30551329049,fair
22870036437,fair
30653044586,fair
30336377998,fair
30223230212,fair
30730936092,fair
30666356668,fair
11520533421,fair
22920926345,fair
30549993619,fair
30514967728,fair
22855584467,fair
30019397510,fair
30473714015,fair
30709356645,fair
30579989150,fair
22803262044,fair
30637031381,fair
30554316024,fair
30310717749,fair
30021873718,fair
22427829425,fair
30706168745,fair
30354980005,fair
30692074946,fair
22888908418,fair
30619217674,fair
825365343,fair
30726565707,fair
4818056178,fair
30669090138,fair
30429305534,fair
30470221781,fair
30620269511,fair
30730594000,fair
30474660030,fair
30664196213,fair
30185505467,fair
30602597695,fair
30692382464,fair
13651918145,fair
30262937924,fair
30616519393,fair
30530180927,fair
30603298152,fair
30558106693,fair
30748987490,fair
30732597856,fair
22525246814,fair
30697880567,fair
30706590179,fair
30453701206,fair
30723626049,fair
30687626585,fair
30665004257,fair
30501514990,fair
30192129948,fair
30234663969,fair
1535140018,fair
30357074349,fair
30652209861,fair
30585273136,fair
30474612932,fair
22871220062,fair
22916847459,fair
21434999311,fair
9530844869,fair
30331176058,fair
20520790080,fair
30687808805,fair
30555760733,fair
30380164628,fair
15774458757,fair
30692283046,fair
22887199046,fair
30262009062,fair
30566301131,fair
8716371456,fair
30395050949,fair
30734390096,fair
3576522085,fair
30536943832,fair
30530191975,fair
30695042267,fair
30353333565,fair
30573991249,fair
14359555312,fair
30515506972,fair
30730262018,fair
30397667780,fair
30610006539,fair
30716203614,fair
30503916334,fair
22572751187,fair
30415984184,fair
30551328083,fair
30538822629,fair
30707577005,fair
20653272601,fair
30625682738,fair
30594252513,fair
30651526806,fair
30461979026,fair
30219838249,fair
30494443354,fair
30441893858,fair
30205326259,fair
22878467625,fair
30663003748,fair
22847147870,fair
30669037937,fair
30669019537,fair
30310717618,fair
917611974,fair
30217237486,fair
30748418960,fair
30514376217,fair
30722599386,fair
22771875218,fair
22828617430,fair
30647175236,fair
30663642375,fair
22456631773,fair
30470222647,fair
22870036428,fair
30717246843,fair
30718432571,fair
1296902590,fair
30748989982,fair
16955787908,fair
30720724116,fair
30356171928,fair
30248501083,fair
30420393072,fair
30401251757,fair
30003747787,fair
30715049953,fair
30592350346,fair
30463966161,fair
30619092788,fair
30671314351,fair
30733865023,fair
30591031987,fair
18357010925,fair
30724017576,fair
22779770494,fair
30573996148,fair
30745634524,fair
765765851,fair
15384015456,fair
30551320873,fair
30695496382,fair
30666030134,fair
30204579977,fair
22904123465,fair
22880742320,fair
30597417757,fair
22794548477,fair
30587547244,fair
897912754,fair
30554314303,fair
30136295921,fair
22571528217,fair
30371501380,fair
30615969322,fair
30441746897,fair
22765278864,fair
30568590703,fair
22533413916,fair
30588750974,fair
11665918956,fair
19497620906,fair
30741499731,fair
22911929151,fair
30455988405,fair
30253121372,fair
30661976960,fair
1236210195,fair
30474560305,fair
30294282982,fair
30698281723,fair
30573995131,fair
30596133408,fair
18495574260,fair
30741940449,fair
13200110455,fair
6538546034,fair
30733890367,fair
30006215342,fair
30164865635,fair
30687916129,fair
30745121743,fair
30740633428,fair
30596693557,fair
30687507942,fair
30704504943,fair
30734075639,fair
30108168474,fair
30718523269,fair
30736797534,fair
30383764742,fair
30608563599,fair
1141989696,fair
30671314134,fair
30666367225,fair
30722073130,fair
541789791,fair
30397097914,fair
30334987034,fair
21104668552,fair
30510993750,fair
12582942133,fair
30381009856,fair
30671304729,fair
30314258310,fair
14782000941,fair
30316392176,fair
30712494383,fair
30178028093,fair
30584038821,fair
30727134603,fair
30573991245,fair
30091784850,fair
30453954805,fair
30605169446,fair
16324278063,fair
20652986673,fair
2609856368,fair
30705690009,fair
14781990690,fair
30287418672,fair
30338970628,fair
30651474562,fair
5467409062,fair
30692138071,fair
30669617971,fair
30750193337,fair
30305194929,fair
22922341286,fair
30177639398,fair
30742177023,fair
668694395,fair
3138995868,fair
30708244109,fair
1409090477,fair
1278465886,fair
30415743152,fair
30749359521,fair
30279321778,fair
30662178710,fair
30709528476,fair
30651692534,fair
30519521421,fair
30403993679,fair
4824511525,fair
30637046075,fair
30551327219,fair
30449569454,fair
19034342192,fair
30528171754,fair
30331629979,fair
30747702540,fair
21295403978,fair
17069734368,fair
30617141415,fair
30694567609,fair
1368864027,fair
126034900,fair
30708331077,fair
30313635409,fair
30618384763,fair
30401082373,fair
22876178317,fair
22865462071,fair
30715505949,fair
30745538620,fair
30736897967,fair
1400760568,fair
30669079387,fair
30648134694,fair
30278362974,fair
30372400038,fair
30329782332,fair
19682808565,fair
30455158026,fair
30409415176,fair
30345408875,fair
30505165607,fair
30725941748,fair
30749576063,fair
30662513760,fair
22608633414,fair
30657477301,fair
22200596799,fair
30331380144,fair
30746913987,fair
847860292,fair
30704637487,fair
21509064480,fair
30635204196,fair
10855926950,fair
200670575,fair
30734067889,fair
5467386917,fair
30618397199,fair
30726146113,fair
19692518165,fair
30712959185,fair
8716371455,fair
30644956563,fair
30566631663,fair
30663322454,fair
30700473087,fair
108755552,fair
20253336960,fair
30694961211,fair
30556165064,fair
808461985,fair
30667245722,fair
22769487172,fair
30745471937,fair
30653544909,fair
30562525531,fair
30306002976,fair
30749409086,fair
30363873066,fair
30717118803,fair
30709630720,fair
30617845903,fair
30279228933,fair
30666002299,fair
30655642066,fair
30603293062,fair
30662327916,fair
30669082820,fair
5467319714,fair
30732705466,fair
30310719622,fair
30387674923,fair
308405492,fair
30657521379,fair
30602760914,fair
4805197435,fair
11954346186,fair
30763176055,fair
13552516044,fair
30042025450,fair
1377123325,fair
30590097634,fair
6583949028,fair
30282669990,fair
22861390834,fair
30286622616,fair
30555727639,fair
5848925628,fair
30667596044,fair
30733886837,fair
30365664481,fair
30744651729,fair
30611940223,fair
30386114738,fair
30651154903,fair
30622624252,fair
30573994125,fair
30717325236,fair
30379264973,fair
30741173043,fair
30734111231,fair
8210373441,fair
30625132961,fair
30470242467,fair
30050523473,fair
12481311765,fair
622094803,fair
22861084424,fair
30683702793,fair
30747401948,fair
30711321726,fair
10039534928,fair
30284864504,fair
6583949033,fair
30614883395,fair
30236666434,fair
30506838503,fair
22082602957,fair
20652986675,fair
30651697972,fair
30665995676,fair
30548630654,fair
30310716674,fair
30318981216,fair
30344062482,fair
30725375737,fair
30223809000,fair
6021822032,fair
30745079766,fair
5467441452,fair
1410348411,fair
30282666924,fair
19997834498,fair
22678206534,fair
30671312909,fair
30144909835,fair
2916477462,fair
19278398116,fair
30657514915,fair
10187082688,fair
30210232242,fair
808361870,fair
30302331017,fair
30347327319,fair
30365693873,fair
30493280001,fair
30366941194,fair
30624967155,fair
30057943319,fair
30669028875,fair
30651681811,fair
30302321478,fair
18495574258,fair
30117674968,fair
30133940754,fair
30052214111,fair
30744243456,fair
14077375656,NULL
30551326308,NULL
30282570146,NULL
21662450135,NULL
30551321660,NULL
30297741791,NULL
30722342801,NULL
4818056145,NULL
30708361006,NULL
22849748471,NULL
14781986565,NULL
30249768725,NULL
22524127457,NULL
18592289238,NULL
900502490,NULL
30694694705,NULL
11120467007,NULL
22675993140,NULL
96613293,NULL
900502483,NULL
30723181985,NULL
268903016,NULL
19095751319,good
3001480206,good
30509620097,good
30357780594,good
22401195877,good
30749579524,good
10809012555,good
11484784088,good
22786083983,good
22832596608,NULL
8750025355,good
30575717889,good
22392792244,good
30239167897,good
30665833368,good
30313259468,good
30238555834,good
219907698,good
30404064304,good
30132927534,good
17004357656,good
30239175924,good
15296155760,good
22398006214,good
22747896299,good
30308236340,good
6720955321,good
21273882548,good
468970560,good
30580051369,good
944274018,good
1001004661,good
17720022583,good
30019245562,good
14280577405,good
22128836884,good
214566439,good
22786084360,good
30499955734,good
2795338709,good
30354838327,good
30712109827,good
30171678367,good
30590659329,good
22618049226,good
9393539215,good
30602640224,good
17010862303,good
22866667280,good
15296155759,good
30731130732,good
30038231869,good
1394920557,good
17498862940,good
21512537056,good
4250500014,good
30651531472,good
22450899835,good
30578475073,good
20165460291,good
30354845000,good
30514047024,good
18830780879,good
13751853373,good
21294878685,good
132132764,good
5894949644,good
30133462303,good
308245316,good
30509572612,good
30280711984,good
780275740,good
30649672965,good
30259761888,good
30351970942,good
22605110741,good
18259794610,good
900553372,good
987184359,good
30509617299,good
17030064520,good
821601485,good
21798292420,good
30238555835,good
30488094815,good
20233217494,good
4576208257,good
312224938,good
22520444881,good
30707568156,good
29942480,good
17431310125,good
30313260239,good
12917532164,good
30219987608,good
30704753337,good
30357374290,good
30578471432,good
308245304,good
11307797148,good
821217069,good
30499931391,good
14345160123,good
263925654,good
295444012,good
20001365991,good
17635696542,good
30717509068,good
22531841501,good
4438884574,good
22585982484,good
4438884272,good
20355654855,good
22852760982,good
30144702785,good
5334849970,good
11410712382,good
12553489689,good
13245416150,good
30396591814,good
17371941549,NULL
1163126018,good
561310790,good
30334477657,good
30404068498,good
88289157,good
30509622022,good
22914174622,good
21798292421,good
30733819522,good
30708338184,good
30726488455,good
936865316,good
20804558347,good
30743701835,good
30650048563,good
30109399861,good
30354843985,good
30031779766,good
30720888171,good
30659067116,good
30553574965,good
755646723,good
30475884284,good
5434713189,good
17371942860,NULL
22608766822,good
12475371461,good
308245308,good
30392942944,good
17352748070,good
22193255997,good
137943804,good
22780731705,good
1378529221,good
22665761590,good
19505856,good
9964118234,good
30249768225,good
22667841332,good
5011564050,good
30644467867,good
1285607493,good
14895281458,good
9231483988,good
30614871113,good
30239167898,good
30586380847,good
30719579314,good
15807602652,good
22513697980,good
22787337580,good
30132029142,good
998140904,good
30042851191,good
22531841498,good
30652162734,good
918920774,good
1911569602,good
22455138881,good
17871070369,good
308245306,good
7118763684,good
5434713202,good
30578469605,good
30689216268,good
14895281452,good
30353537536,good
30241450767,good
71652978,good
2845020489,good
30392942945,good
22609855716,good
30649323664,good
30045188971,good
3860475444,good
30636203411,good
4438884273,good
30712538599,good
30558659903,NULL
30099494972,NULL
30558657357,NULL
817963113,NULL
887444363,NULL
22575766170,NULL
22833267653,NULL
22575766169,NULL
22596070641,NULL
30231736183,NULL
30644603954,NULL
22506238387,NULL
30580056127,NULL
30660235917,NULL
22516081078,NULL
65853181,NULL
30636218759,NULL
22844622511,NULL
22886427558,NULL
20732397376,NULL
20732384775,NULL
1365327675,NULL
7610451650,NULL
200489648,NULL
122559422,NULL
30257722657,NULL
30726857697,good
6289006299,good
30428585060,good
30473751592,good
30337423703,good
14883183609,good
30723122513,good
823826796,good
30632395990,good
1550125451,good
18385031906,good
30305442772,good
189472654,good
30614776407,good
30737952910,good
30694937015,good
30554055674,good
30000214918,good
30665742486,good
30015358564,good
30287592558,good
30697816940,good
30652067418,good
30028993415,good
30359738117,good
30737698817,good
30686232758,good
30737743689,good
30320983832,good
30604786599,good
22513525406,good
30381402514,good
30686147550,good
30037449660,good
30407712304,good
30737194530,good
30736082254,good
30406109942,good
30733118490,good
30053403427,good
30739474960,good
30739950352,good
30717116979,good
30647132083,good
30669036419,good
22615210486,good
30531346651,good
607648076,good
30709737079,good
30740400350,good
30735397395,good
30556606540,good
30577545886,good
30716428273,good
30733293954,good
30749307377,good
30734501872,good
30733616052,good
30281998593,good
30714902240,good
30736083255,good
30736520672,good
30651832922,good
30651516898,good
19016533949,good
30711417302,good
30621293980,good
30694833960,good
30737438311,good
30711207118,good
30466178294,good
30443444031,good
12266457281,good
30685407896,good
30661431097,good
30618024753,good
30582626647,good
30599151486,good
30588282465,good
30590799112,good
30694611592,good
30457658985,good
30652282012,good
22859119226,good
30626768990,good
30716996565,good
30415047848,good
30043939509,good
30690843618,good
30698085470,good
30728851749,good
30709066755,good
30688895014,good
14871608608,good
30435106493,good
30739086975,good
17764494169,good
30029272789,good
19739115009,good
30659362866,good
30473471035,good
30486448234,good
30725378274,good
30585401520,good
30715437196,good
30573251856,good
30743477989,good
30196014724,good
30737293692,good
30725912905,good
30247698777,good
2795338714,good
21778647822,good
13775122406,good
30723005572,good
30367742933,good
30711004495,good
30408501711,good
30641107562,good
30612308762,good
1332186599,good
30219324066,good
30240773316,good
16601861016,good
30698862500,good
30443549242,good
30081841788,good
30211999832,good
30728311263,good
21303620300,good
30697482032,good
1189096663,good
30747905988,good
30739507889,good
30693780549,good
30666029271,good
9841085388,good
30037646311,good
30739366106,good
30740102781,good
30037829003,good
30740302761,good
18881098334,good
30297674658,good
30564861907,good
22446180899,good
30503773406,good
14387395892,good
14760079735,good
30128892406,good
1276326196,good
30663647828,good
11672098347,good
30138198842,good
30081968584,good
30737477296,good
30716039028,good
30608064210,good
30739093721,good
30720535119,good
30695691023,good
2668030251,good
30699210314,good
30081528101,good
9994028217,good
30575356422,good
30740332284,good
30645418748,good
30744590446,good
30584465208,good
30699596227,good
30336147779,good
20561629548,good
12989079999,good
30744100669,good
7204212085,good
20763549628,good
30315259206,good
30575376123,good
30657354415,good
30127701519,good
22643675978,good
30739281775,good
208647507,good
30699636526,good
401064106,good
30038764305,good
30699107842,good
30444237425,good
30699607140,good
30739909979,good
30171796156,good
30407664192,good
936183263,good
16933703021,good
30573253743,good
22912234499,good
30733482713,good
30708525922,good
30663995331,good
30738820534,good
30617153652,good
332500200,good
30396297462,good
30252606551,good
30731346808,good
30699465836,good
15214784236,good
30455557752,good
30517743453,good
30697802744,good
30733433437,good
5467327846,good
30650143310,good
174123078,good
30210813419,good
1428828955,good
30619188959,good
30727955385,good
30109825679,good
30739039039,good
6281847943,good
30305435577,good
30734728448,good
30709735179,good
30738960471,good
30699286058,good
30689007217,good
30046197905,good
30607332863,good
30724603773,good
30739713862,good
30728260211,good
30049240809,good
30669033753,good
30012150326,good
30737581156,good
30669039982,good
22899483069,good
30699460396,good
30740240668,good
30465560756,good
30341594685,good
30740310873,good
30738963155,good
30598692738,good
30713312479,good
1958318699,good
30093652186,good
30644930295,good
30487942690,good
30660208730,good
30275929196,good
30733582226,good
30110390901,good
30042015887,good
30617590604,good
30737557303,good
30697854779,good
30604711648,good
30667320412,good
30310723061,good
30608592108,good
19084570205,good
30666177659,good
30441745879,good
30709883822,good
30731407417,good
30605256010,good
30551329046,good
30725407017,good
30563827866,good
22903762228,good
30687490095,good
30630089657,good
30752042137,good
30731341707,good
30714634532,good
30722054778,good
30584466073,good
30628477366,good
30737598825,good
30632090035,good
18914649994,good
30739896116,good
30697385590,good
30737382765,good
401064296,good
30406242111,good
30650027921,good
30305787945,good
30014215773,good
30205422814,good
30300354284,good
30359715131,good
30457662678,good
30688734352,good
30583574832,good
30172412570,good
30310726934,good
30210700862,good
30729683991,good
30598468844,good
30577516135,good
30697669973,good
30707192131,good
30508753623,good
30303392962,good
3205896145,good
30613790640,good
30743805448,good
30623449786,good
30082118437,good
30698084609,good
30738907487,good
30626980066,good
30624126421,good
10990527575,good
30583410323,good
30733118237,good
22660349164,good
30163567950,good
30662106251,good
30436898962,good
30660759432,good
30708994987,good
30664240926,good
30699282992,good
30255420066,good
30741152302,good
19574871268,good
30721282214,good
30697799943,good
30496214371,good
30718099993,good
30080487732,good
2954452664,good
30434770218,good
22899601986,good
30739859784,good
30694826649,good
30718202130,good
30103571077,good
30748664923,good
30577421289,good
30663607141,good
30739189760,good
30621263646,good
30669019502,good
30663651446,good
30667005728,good
30117074783,good
30048438698,good
30599596234,good
30748468633,good
30588992322,good
30732531530,good
30333858914,good
16611516310,good
30697795338,good
30606266938,good
30559377298,good
30737561394,good
30702694325,good
30705676271,good
30434580952,good
12606323899,good
2992155501,good
22520788031,good
30537995294,good
30686914541,good
30702935616,good
30738493108,good
30590031362,good
30699290334,good
30258273083,good
10141179516,good
22594340305,good
30710660721,good
22610147009,good
30595939810,good
30726243328,good
30737525333,good
30660923527,good
30306579912,good
30738347373,good
30643297497,good
30367514525,good
30538818571,good
30737245358,good
30082148548,good
1978280450,good
30692362401,good
1046762509,good
30718682962,good
30523186646,good
30734217513,good
30012305301,good
30743257139,good
30191207695,good
30332224873,good
30617865091,good
837170227,good
30738824911,good
30698782892,good
30733069823,good
10390215385,good
22890297791,good
30642614296,good
22505124632,good
22408988278,good
30699868421,good
30699045077,good
30220057175,good
30032906202,good
30543697288,good
30405755303,good
30605055028,good
30349208601,good
30617831644,good
30521947856,good
758139714,good
30697790977,good
22531841507,good
30149718025,good
30255639397,good
30303597004,good
30733393192,good
30568676125,good
30520520867,good
30740419510,good
30722595391,good
30747254267,good
30699080560,good
22817138505,good
30620683091,good
30551329039,good
30118845605,good
30405504481,good
30563331262,good
30699267039,good
30738609545,good
8942623395,good
30733533960,good
22540662528,good
30711729066,good
30694786234,good
30525229390,good
1207397416,good
22408985163,good
30290118605,good
30744317539,good
30615832236,good
30573039059,good
30697861109,good
2780155689,good
22256856990,good
880572285,good
21053898505,good
30619264087,good
30660746851,good
22867333687,good
12613821190,good
30692887045,good
30743842382,good
30738616102,good
30718111523,good
30637008458,good
30743846080,good
30606964444,good
30456996157,good
30425835720,good
30080065810,good
30715383922,good
30737771175,good
30621255723,good
30234056309,good
9061568763,good
22516161984,good
12220754484,good
30711924640,good
30711982418,good
30657359046,good
30688805911,good
30748470616,good
30310716799,good
30734078769,good
22607281731,good
30740761903,good
1425230416,good
30623910462,good
30327159411,good
30739024316,good
30494040732,good
