,0
book,isbn10
30577519075,NULL
30726857697,NULL
6289006299,NULL
30354314363,NULL
30428585060,NULL
30636277564,NULL
30473751592,NULL
30337423703,NULL
14883183609,NULL
98082475,NULL
30723122513,NULL
823826796,NULL
822212931,NULL
30095710798,NULL
30418872003,045140680X
30632395990,4511248125
30287631422,NULL
1550125451,NULL
24246484,NULL
30266962238,NULL
30697356726,NULL
18385031906,NULL
30305442772,NULL
10888942506,NULL
30137477279,NULL
30137469766,NULL
189472654,NULL
22916774504,NULL
22422624086,NULL
30662833572,NULL
30614776407,NULL
30737952910,1333681992
11380859030,NULL
30694937015,NULL
30671520483,NULL
30140241473,NULL
30554055674,NULL
30615204321,1434441679
823293040,NULL
30000214918,NULL
30362456248,NULL
30665742486,NULL
30665976502,NULL
22543314164,NULL
30699156943,1570642710
30265372055,NULL
22879541801,NULL
30712311881,048622225X
30015358564,NULL
30287592558,NULL
30749797369,NULL
30697816940,NULL
30570556952,1092430423
30095683067,NULL
30652067418,NULL
30028993415,NULL
30359738117,NULL
30329763735,NULL
30737698817,NULL
30686232758,NULL
30425838269,NULL
30737743689,NULL
30183179393,NULL
30320983832,NULL
30137478754,NULL
6774804172,NULL
22648683565,NULL
22494417343,NULL
8246190622,NULL
30604786599,NULL
22513525406,NULL
5832979961,NULL
2795338706,NULL
30381402514,NULL
30429762138,NULL
998637035,NULL
2671035441,NULL
3654291430,NULL
30137539540,NULL
30137477804,NULL
30686147550,NULL
30699880571,1603121307
30037449660,NULL
30407712304,NULL
30282570146,NULL
30737194530,NULL
30736082254,042501777X
30648474659,1416534784
30137491656,NULL
30406109942,NULL
30733118490,NULL
30053403427,NULL
30602634771,NULL
19062008056,NULL
30137494440,NULL
18458388866,NULL
10436241196,NULL
30739474960,NULL
30137473206,NULL
30739083505,843163474X
30644172242,191297049X
30739950352,NULL
30121598318,1593080069
30575915990,NULL
30717116979,038509423X
30203092696,149510608X
30744988985,NULL
30310720384,NULL
30647132083,NULL
30669036419,NULL
30268656684,NULL
30704861605,NULL
22615210486,NULL
30531346651,NULL
607648076,NULL
30708361006,NULL
30266983201,NULL
30377938178,1948742322
30699305106,NULL
30699458808,1411469542
30637134911,NULL
30709737079,NULL
30309832356,NULL
22299303321,NULL
30595966061,034502365X
30568793746,1673586139
30740400350,1593080204
30735397395,NULL
30556606540,NULL
30577545886,141146978X
22769487174,NULL
30716428273,NULL
30127853508,1530584736
30733293954,NULL
19095751319,NULL
30723439423,1587260476
15362937128,NULL
30749307377,NULL
30415626040,NULL
30712018015,NULL
10301020323,NULL
30275974063,NULL
114761838,NULL
684210019,NULL
22420062805,NULL
3001480206,NULL
30666564546,NULL
30228415401,NULL
14407574795,NULL
30667604154,038509423X
30687961273,048621866X
30734501872,NULL
30733616052,NULL
30281998593,NULL
30714902240,NULL
30736083255,NULL
30736520672,NULL
22460401805,NULL
