,0
book,JacketCondition
30575384382,NULL
30668298328,NULL
22826671635,NULL
57960667,NULL
19989438783,NULL
155172594,NULL
30423401697,NULL
9889725942,NULL
30423330766,NULL
30617505148,NULL
30604418718,NULL
30612039891,NULL
30604463548,NULL
30602095675,NULL
30615044858,NULL
30621570932,NULL
30604514000,NULL
30595766956,NULL
30592015215,NULL
30611970167,NULL
30612148555,NULL
30612646166,NULL
30614442284,NULL
30613051919,NULL
30595702406,NULL
30620926712,NULL
30614994520,NULL
30603945997,NULL
30615033520,NULL
11115082548,NULL
13172265188,NULL
1054562001,NULL
30594940190,NULL
30600549934,NULL
30591295915,NULL
30578915298,NULL
30625655107,NULL
63847237,NULL
9695113377,NULL
30250148265,NULL
74583242,NULL
30288087731,NULL
7388583901,NULL
30697579549,NULL
30452876705,NULL
30406064182,NULL
95982329,NULL
226751730,NULL
30506712186,NULL
30712847588,NULL
30563007403,NULL
22085460690,NULL
758139714,NULL
30300357501,NULL
30575356422,NULL
30334152781,NULL
18592289238,NULL
259393306,NULL
30679249211,NULL
30628413895,NULL
30081736355,NULL
21660993446,NULL
30636321265,NULL
30652072964,NULL
30737771175,NULL
30740181875,NULL
30733020056,NULL
30737300075,NULL
30708949552,NULL
17146192626,NULL
30587915795,NULL
1550125451,NULL
6129361564,NULL
5537434218,NULL
30264418821,NULL
8716371607,NULL
22494507645,NULL
30697819189,NULL
30032277014,NULL
22474902401,NULL
30101071503,NULL
30723750082,NULL
1345714886,NULL
30411722054,NULL
21434999311,NULL
14461306502,NULL
30738512060,NULL
30663390556,NULL
30733870358,NULL
30663393412,NULL
30699406172,NULL
30500722475,NULL
30504798481,NULL
30575338643,NULL
30697697814,NULL
30573986905,NULL
30287592558,NULL
5832979961,NULL
22615210486,NULL
22420062805,NULL
21778647822,NULL
30503773406,NULL
22912234499,NULL
30650143310,NULL
1428828955,NULL
30343910155,NULL
18457810512,NULL
30583574832,NULL
30650031662,NULL
3608642811,NULL
30137480266,NULL
30537995294,NULL
30699290334,NULL
30259412450,NULL
12059030439,NULL
22020192322,NULL
22849166915,NULL
30299256422,NULL
