,book,language
0,30577519075,English
1,30726857697,English
2,6289006299,English
3,30354314363,English
4,30428585060,English
5,30636277564,English
6,30473751592,English
7,30337423703,English
8,14883183609,English
9,98082475,English
10,30723122513,English
11,823826796,English
12,822212931,English
13,30095710798,English
14,30418872003,English
15,30632395990,English
16,30287631422,English
17,1550125451,English
18,24246484,English
19,30266962238,English
20,30697356726,English
21,18385031906,English
22,30305442772,English
23,10888942506,English
24,30137477279,English
25,30137469766,English
26,189472654,English
27,22916774504,English
28,22422624086,English
29,30662833572,English
30,30614776407,English
31,30737952910,English
32,11380859030,English
33,30694937015,English
34,30671520483,English
35,30140241473,English
36,30554055674,English
37,30615204321,English
38,823293040,English
39,30000214918,English
40,30362456248,English
41,30665742486,English
42,30665976502,English
43,22543314164,English
44,30699156943,English
45,30265372055,English
46,22879541801,English
47,30712311881,English
48,30015358564,English
49,30287592558,English
50,30749797369,English
51,30697816940,English
52,30570556952,English
53,30095683067,English
54,30652067418,English
55,30028993415,English
56,30359738117,English
57,30329763735,English
58,30737698817,English
59,30686232758,English
60,30425838269,English
61,30737743689,English
62,30183179393,English
63,30320983832,English
64,30137478754,English
65,6774804172,English
66,22648683565,English
67,22494417343,English
68,8246190622,English
69,30604786599,English
70,22513525406,English
71,5832979961,English
72,2795338706,English
73,30381402514,English
74,30429762138,English
75,998637035,English
76,2671035441,English
77,3654291430,English
78,30137539540,English
79,30137477804,English
80,30686147550,English
81,30699880571,English
82,30037449660,English
83,30407712304,English
84,30282570146,English
85,30737194530,English
86,30736082254,English
87,30648474659,English
88,30137491656,English
89,30406109942,English
90,30733118490,English
91,30053403427,English
92,30602634771,English
93,19062008056,English
94,30137494440,English
95,18458388866,English
96,10436241196,English
97,30739474960,English
98,30137473206,English
99,30739083505,English
100,30644172242,English
101,30739950352,English
102,30121598318,English
103,30575915990,English
104,30717116979,English
105,30203092696,English
106,30744988985,English
107,30310720384,English
108,30647132083,English
109,30669036419,English
110,30268656684,English
111,30704861605,English
112,22615210486,English
113,30531346651,English
114,607648076,English
115,30708361006,English
116,30266983201,English
117,30377938178,English
118,30699305106,English
119,30699458808,English
120,30637134911,English
121,30709737079,English
122,30309832356,English
123,22299303321,English
124,30595966061,English
125,30568793746,English
126,30740400350,English
127,30735397395,English
128,30556606540,English
129,30577545886,English
130,22769487174,English
131,30716428273,English
132,30127853508,English
133,30733293954,English
134,19095751319,English
135,30723439423,English
136,15362937128,English
137,30749307377,English
138,30415626040,English
139,30712018015,English
140,10301020323,English
141,30275974063,English
142,114761838,English
143,684210019,English
144,22420062805,English
145,3001480206,English
146,30666564546,English
147,30228415401,English
148,14407574795,English
149,30667604154,English
150,30687961273,English
151,30734501872,English
152,30733616052,English
153,30281998593,English
154,30714902240,English
155,30736083255,English
156,30736520672,English
157,22460401805,English
158,1284941630,French
159,30740021376,English
160,30324233101,English
161,30356009620,English
162,2337216202,English
163,30651832922,English
164,544738317,English
165,30651516898,English
166,22719066369,English
167,19016533949,English
168,22789582708,English
169,30027561735,English
170,30711417302,English
171,30137495559,English
172,30621293980,English
173,30150294488,English
174,30694833960,English
175,30230577991,English
176,30737438311,English
177,22457824068,English
178,21337423311,English
179,22552642457,English
180,30364452564,English
181,30711207118,English
182,7059163101,English
183,30571389945,English
184,30466178294,English
185,30687807982,English
186,30322074022,English
187,22665761592,English
188,30443444031,English
189,12266457281,English
190,30271292761,English
191,30685407896,English
192,30661431097,English
193,1115359369,English
194,30604210482,English
195,30742905930,English
196,30268484086,English
197,30005420507,English
198,30268503328,English
199,18670992715,English
200,30259804923,English
201,30618024753,English
202,30738811879,English
203,4800293611,English
204,10523283000,English
205,30110201905,English
206,11144279544,English
207,30582626647,English
208,30580093443,English
209,30057305211,English
210,1239335062,English
211,30737970613,English
212,30747390092,English
213,30587436982,English
214,30109124174,English
215,30575242715,English
216,30663351563,English
217,46718605,English
218,30599151486,English
219,22420041337,English
220,30588282465,English
221,30590799112,English
222,22299303250,English
223,344406900,English
224,11028834911,English
225,30591014746,English
226,30137492539,English
227,1329938320,English
228,30740123224,English
229,30694611592,English
230,22408985165,English
231,30197432915,English
232,30457658985,English
233,30652282012,English
234,30532009766,English
235,30740925296,English
236,22859119226,English
237,30435374169,English
238,30697302406,English
239,30646187673,English
240,30626768990,English
241,30716996565,English
242,30509889426,English
243,21050369474,English
244,40813675,English
245,30415047848,English
246,30637735652,English
247,30745968139,English
248,30509620097,English
249,30231736183,English
250,30357780594,English
251,30043939509,English
252,30523278020,English
253,633199459,English
254,30577492549,English
255,30137500277,English
256,30749640801,English
257,30690843618,English
258,30698085470,English
259,30728851749,English
260,30709066755,English
261,9393539240,English
262,30688895014,English
263,14871608608,English
264,30435106493,English
265,30739086975,English
266,17764494169,English
267,5064367118,English
268,25847721,English
269,20175045909,English
270,30029272789,English
271,30461486152,English
272,30699613723,English
273,19739115009,English
274,30659362866,English
275,30473471035,English
276,30694769362,English
277,22401195877,English
278,22843857327,English
279,30722927985,English
280,30486448234,English
281,30741543462,English
282,30725378274,English
283,30585401520,English
284,30715437196,English
285,30137503012,English
286,30711577499,English
287,1960367911,English
288,30573251856,English
289,30743477989,English
290,30196014724,English
291,30737293692,English
292,30704999104,English
293,4818056145,English
294,30723751050,English
295,30717417732,English
296,30725912905,English
297,30696231202,English
298,30272458924,English
299,30247698777,English
300,1302998503,English
301,30267959290,English
302,2795338714,English
303,21778647822,English
304,30137537842,English
305,30699234738,English
306,13775122406,English
307,1173875456,English
308,30152958171,English
309,30749579524,English
310,30723005572,English
311,59774732,English
312,30137481206,English
313,30549198023,English
314,30361293933,English
315,30367742933,English
316,30711004495,English
317,21815712871,English
318,10809012555,English
319,20255302976,English
320,19176555837,English
321,11484784088,English
322,30408501711,English
323,30665138860,English
324,30537882309,English
325,11230005921,English
326,30641107562,English
327,30612308762,English
328,1332186599,English
329,30219324066,English
330,30240773316,English
331,2808967626,English
332,16601861016,English
333,30627202852,English
334,30449762981,English
335,8287033199,English
336,30698862500,English
337,30443549242,English
338,30317299379,English
339,30220749798,English
340,30081841788,English
341,30211999832,English
342,30380185734,English
343,22786083983,English
344,30268660201,English
345,30728311263,English
346,30738770497,English
347,21303620300,English
348,30574893008,English
349,30137478272,English
350,30724605991,English
351,30697482032,English
352,30423330766,English
353,30455054143,English
354,1189096663,English
355,30709623518,English
356,17696362080,English
357,30747905988,English
358,30739507889,English
359,30623672915,English
360,30107584278,English
361,30695379950,English
362,30693780549,English
363,30666029271,English
364,9841085388,English
365,22870036444,English
366,30037646311,English
367,30734796063,English
368,30699617283,English
369,30739366106,English
370,10143453335,English
371,30388205260,English
372,20786306689,English
373,22655464749,English
374,30265140479,English
375,30697976951,English
376,30740102781,English
377,30037829003,English
378,30310719495,English
379,30610906983,English
380,17113280935,English
381,30737755197,English
382,22413833850,English
383,30740302761,English
384,30512664529,English
385,18881098334,English
386,30741076802,English
387,30610813171,English
388,30297674658,English
389,14461306502,English
390,30264707718,English
391,30265656701,English
392,30137568612,English
393,18354419443,English
394,30564861907,English
395,69200906,English
396,887444363,English
397,22446180899,English
398,30687840922,English
399,22665761599,English
400,30503773406,English
401,14387395892,English
402,30575183071,English
403,14760079735,English
404,30128892406,English
405,9129035422,English
406,1167839056,English
407,30268990770,English
408,30616155790,English
409,30271300060,English
410,30718318090,English
411,1276326196,English
412,30663647828,English
413,11672098347,English
414,30138198842,English
415,733629620,English
416,22832680654,English
417,30081968584,English
418,30508728017,English
419,30592961305,English
420,22505002886,English
421,22864299824,English
422,20901949556,English
423,30223640558,English
424,30737477296,English
425,4438884576,English
426,22903503869,English
427,30560226658,English
428,30265656702,English
429,30716039028,English
430,30608064210,English
431,30526715675,English
432,30697725272,English
433,22920435840,English
434,18059780116,English
435,30467346924,English
436,30429627216,English
437,30519370763,English
438,30739093721,English
439,30137524497,English
440,30720535119,English
441,30695691023,English
442,30492338849,English
443,2668030251,English
444,9393539241,English
445,30635726921,English
446,30536795653,English
447,13242169842,English
448,30699210314,English
449,30611095641,English
450,30631549724,English
451,30081528101,English
452,96728547,English
453,9994028217,English
454,30452707454,English
455,30331447564,English
456,30551096218,English
457,30575356422,English
458,30740332284,English
459,22561590994,English
460,30262334579,English
461,30645418748,English
462,30744590446,English
463,30519830708,English
464,19559446,English
465,30690941775,English
466,7195463142,English
467,30584465208,English
468,30632190818,English
469,30699596227,English
470,30336147779,English
471,20561629548,English
472,30560237127,English
473,3065816212,English
474,22665761594,English
475,30711911351,English
476,12989079999,English
477,30744100669,English
478,7204212085,English
479,20763549628,English
480,30315259206,English
481,30618449371,English
482,21838804627,English
483,30575376123,English
484,22903497230,English
485,30657354415,English
486,30327696752,English
487,20167376980,English
488,30127701519,English
489,30331824529,English
490,30350286961,English
491,22643675978,English
492,30739281775,English
493,208647507,English
494,30699636526,English
495,30718304854,English
496,401064106,English
497,30038764305,English
498,30699107842,English
499,30614464357,English
500,30444237425,English
501,30278214662,English
502,744381506,English
503,3486692753,English
504,30699607140,English
505,30739909979,English
506,30171796156,English
507,30688491824,English
508,30407664192,English
509,936183263,English
510,30603251266,English
511,22618053029,English
512,14781987053,English
513,22790827045,English
514,30718198751,English
515,30097124362,English
516,16933703021,English
517,30573253743,English
518,22912234499,English
519,30573818208,English
520,22844622385,English
521,30733482713,English
522,30708525922,English
523,30663995331,English
524,18592289238,English
525,30427437327,English
526,30738820534,English
527,30120915052,English
528,30451867865,English
529,30617153652,English
530,30279070323,English
531,30557455949,English
532,332500200,English
533,30644524153,English
534,22574614745,English
535,18817841822,English
536,988184408,English
537,22832596608,English
538,17224495014,English
539,30396297462,English
540,20836404026,English
541,8750025355,English
542,30035583277,English
543,372101494,English
544,30252606551,English
545,30731346808,English
546,30699465836,English
547,30665810940,English
548,22849748471,English
549,30548474487,English
550,30265798621,English
551,15214784236,English
552,30455557752,English
553,30517743453,English
554,30137470431,English
555,30697802744,English
556,14624563746,English
557,30733433437,English
558,17841460782,English
559,30699590849,English
560,30656595127,English
561,22414932296,English
562,30651729029,English
563,5467327846,English
564,30650143310,English
565,174123078,English
566,30231752057,English
567,30210813419,English
568,30359727277,English
569,1428828955,English
570,22396068331,English
571,30734269861,English
572,30708388698,English
573,21435012672,English
574,30264424954,English
575,30271636535,English
576,30619188959,English
577,21989645123,English
578,5709075622,English
579,30580856790,English
580,30727955385,English
581,30722925006,English
582,30109825679,English
583,30577466750,English
584,30739039039,English
585,10634213556,English
586,30724454461,English
587,22543314165,English
588,22413816038,English
589,6281847943,English
590,18356462011,English
591,30305435577,English
592,30734728448,English
593,30709735179,English
594,30697328697,English
595,30738960471,English
596,30699286058,English
597,30689007217,English
598,30046197905,English
599,30137477805,English
600,14094264197,English
601,30629068276,English
602,30731097466,English
603,30607332863,English
604,22862772844,English
605,30724603773,English
606,30230904477,English
607,30739713862,English
608,30728260211,English
609,30049240809,English
610,30688945248,English
611,30669033753,English
612,30650033577,English
613,30012150326,English
614,1157181464,English
615,30602639459,English
616,30264450895,English
617,30737581156,English
618,2845020490,English
619,30669039982,English
620,30343910155,English
621,22773182451,English
622,18584675456,English
623,22899483069,English
624,16426233795,English
625,30571085212,English
626,30282669014,English
627,8068292423,English
628,30310726915,English
629,941021824,English
630,30699460396,English
631,30740240668,English
632,1189938012,English
633,30465560756,English
634,13518434237,English
635,30306098271,English
636,30549457625,English
637,30698073958,English
638,1229370967,English
639,30341594685,English
640,30645261991,English
641,10345263742,English
642,22413529671,English
643,30740310873,English
644,30308963798,English
645,30337235707,English
646,30738963155,English
647,9126714053,English
648,30598692738,English
649,30643746337,English
650,30137482110,English
651,30713312479,English
652,242855190,English
653,30357111963,English
654,30734270760,English
655,30605454533,English
656,1958318699,English
657,1157901907,English
658,30330554660,English
659,30137479596,English
660,22420042428,English
661,30093652186,English
662,30704187229,English
663,12070838690,English
664,30699581663,English
665,30644930295,English
666,30575717889,English
667,30487942690,English
668,30660208730,English
669,30275929196,English
670,30282667972,English
671,22844627902,English
672,30280716015,English
673,3401872846,English
674,1271852724,English
675,30750290164,English
676,22485404304,English
677,30699607199,English
678,10107176741,English
679,20098125515,English
680,30176097287,English
681,30734675343,English
682,10634213567,English
683,947110148,English
684,22414932201,English
685,30733582226,English
686,30110390901,English
687,30042015887,English
688,30731166952,English
689,30743799149,English
690,30617590604,English
691,30114331307,English
692,30715374093,English
693,30643303028,English
694,60883878,English
695,30631305067,English
696,30737557303,English
697,30697854779,English
698,30604711648,English
699,30667320412,English
700,397777360,English
701,30310723061,English
702,30608592108,English
703,19084570205,English
704,18457810512,English
705,1042246748,English
706,1008300612,English
707,544738311,English
708,417289862,English
709,30666177659,English
710,316920310,English
711,30540334680,English
712,30137464447,English
713,30441745879,English
714,30709883822,English
715,14883183389,English
