,0
book,price
30577519075,$ 3.65
30726857697,NULL
6289006299,$ 2.99
30354314363,$ 3.80
30428585060,$ 4.87
30636277564,$ 14.95
30473751592,$ 4.29
30337423703,$ 10.00
14883183609,$ 14.57
98082475,$ 7.50
30723122513,$ 3.98
823826796,$ 1.99
822212931,$ 7.50
30095710798,$ 6.94
30418872003,NULL
30632395990,$ 8.96
30287631422,$ 3.51
1550125451,$ 10.00
24246484,$ 16.50
30266962238,$ 31.28
30697356726,$ 3.80
18385031906,$ 25.00
30305442772,$ 3.51
10888942506,$ 2.00
30137477279,$ 4.00
30137469766,$ 10.00
189472654,$ 2.00
22916774504,$ 27.50
22422624086,$ 4.95
30662833572,$ 100.00
30614776407,$ 1.99
30737952910,$ 4.00
11380859030,$ 2.00
30694937015,$ 99.99
30671520483,$ 4.46
30140241473,$ 3.32
30554055674,$ 2.00
30615204321,$ 23.99
823293040,$ 12.00
30000214918,$ 1.00
30362456248,$ 4.34
30665742486,$ 5.76
30665976502,$ 3.79
22543314164,$ 4.95
30699156943,$ 3.61
30265372055,$ 42.29
22879541801,$ 6.49
30712311881,$ 1.01
30015358564,$ 3.97
30287592558,$ 6.49
30749797369,$ 4.70
30697816940,$ 3.51
30570556952,$ 6.66
30095683067,$ 13.00
30652067418,$ 4.19
30028993415,$ 4.19
30359738117,$ 19.95
30329763735,$ 6.54
30737698817,$ 4.00
30686232758,$ 3.61
30425838269,$ 10.00
30737743689,$ 4.70
30183179393,$ 3.79
30320983832,$ 4.50
30137478754,$ 6.00
6774804172,$ 4.01
22648683565,$ 9.00
22494417343,$ 19.95
8246190622,$ 11.25
30604786599,$ 2.99
22513525406,$ 18.00
5832979961,$ 7.00
2795338706,$ 10.00
30381402514,$ 2.50
30429762138,$ 15.93
998637035,$ 25.00
2671035441,$ 10.00
3654291430,$ 50.00
30137539540,$ 8.00
30137477804,$ 6.00
30686147550,$ 2.95
30699880571,$ 3.51
30037449660,$ 35.46
30407712304,$ 7.39
30282570146,$ 17.95
30737194530,$ 4.00
30736082254,$ 7.97
30648474659,$ 3.61
30137491656,$ 6.00
30406109942,$ 11.26
30733118490,$ 4.55
30053403427,$ 4.19
30602634771,$ 25.00
19062008056,$ 20.00
30137494440,$ 4.00
18458388866,$ 7.00
10436241196,$ 12.00
30739474960,$ 4.00
30137473206,$ 7.00
30739083505,$ 4.00
30644172242,$ 8.05
30739950352,$ 4.00
30121598318,$ 1.23
30575915990,$ 3.42
30717116979,$ 2.74
30203092696,$ 6.74
30744988985,$ 3.89
30310720384,$ 3.50
30647132083,$ 8.39
30669036419,$ 1.50
30268656684,$ 42.88
30704861605,$ 3.95
22615210486,$ 50.30
30531346651,$ 4.38
607648076,$ 24.00
30708361006,$ 19.00
30266983201,$ 29.77
30377938178,$ 16.06
30699305106,$ 3.51
30699458808,$ 3.98
30637134911,$ 3.50
30709737079,$ 6.47
30309832356,$ 2.49
22299303321,$ 15.00
30595966061,$ 11.10
30568793746,$ 13.04
30740400350,$ 3.98
30735397395,NULL
30556606540,NULL
30577545886,$ 4.69
22769487174,$ 11.36
30716428273,NULL
30127853508,$ 15.61
30733293954,$ 4.70
19095751319,$ 18.00
30723439423,$ 4.55
15362937128,$ 8.47
30749307377,$ 4.70
30415626040,$ 7.86
30712018015,$ 4.25
