book,publisher
30577519075,Dover
30726857697,Mariner Books
6289006299,Ace
30354314363,Signet Classics
30428585060,Warner Books
30636277564,"Houghton Mifflin, Cambridge, Massachusetts"
30473751592,Stemmer House Pub
30337423703,"Beagle Books, New York"
14883183609,"Arkham House, Sauk City, WI"
98082475,Ace
30723122513,Signet
823826796,DAW
822212931,"Anchor Books, Garden City NY"
30095710798,Dover
30418872003,Signet (New American Library)
30632395990,DAW
30287631422,Moody Bible Institute
1550125451,"A Mentor Classic/ The New American Library, New York NY"
24246484,Dover
30266962238,
30697356726,Random House Books for Young Readers
18385031906,King Size
30305442772,Ariel Books
10888942506,"Galaxy Publishing, New York, U.S.A."
30137477279,Dover
30137469766,Ace
189472654,Ballantine
22916774504,"Duell, Sloan and Pearce, New York"
22422624086,Dover
30662833572,"R. S. Peale, Chicago"
30614776407,Signet
30737952910,
11380859030,Belmont / Tower
30694937015,William Morrow Paperbacks
30671520483,Bantam Classics
30140241473,Houghton Mifflin
30554055674,Mercury Press
30615204321,Wildside Press
823293040,Spring Books (Hamlyn)
30000214918,"Dell, New York, NY"
30362456248,
30665742486,Ballantine
30665976502,Mariner
22543314164,"Avon Books., New York, NY, USA."
30699156943,Lyrick Studios
30265372055,
22879541801,Paperback Library
30712311881,Dover
30015358564,Signet
30287592558,Ace
30749797369,Penguin Publishing Group
30697816940,Houghton Mifflin
30570556952,
30095683067,"Farrar, Straus & Cudahy, New York"
30652067418,Dover
30028993415,Ballantine
30359738117,Nelson Doubleday
30329763735,Cambridge University Press
30737698817,Random House Publishing Group
30686232758,Dover
30425838269,"Quinn Publishing, Kinston, NY"
30737743689,Random House Value Publishing
30183179393,Dial
30320983832,DAW
30137478754,"midwood tower,"
6774804172,Warner (US) rpt.1979 : ( 23 other books by this author also available.) A paperback book. Book orders are shipped on a daily basis.
22648683565,Pinnacle Books January 1975
22494417343,Ace
8246190622,Harper & Brothers
30604786599,Ballantine
22513525406,"International Collectors Library, New York"
5832979961,Ace
2795338706,Ace
30381402514,Berkley Medallion
30429762138,HARRAP
998637035,"Weird Tales, NY"
2671035441,Berkley G-163
3654291430,"Selskabet Bogvennerne, Copenhagen"
30137539540,Ballantine
30137477804,"Lancer Books. New York: Lancer Books, Inc."
30686147550,Ballantine
30699880571,Aegypan
30037449660,Theosophical Pub House
30407712304,San Val
30282570146,"N.Y. / New York: Science Wonder Quarterly / Stellar Publishing, 1930, 1st Edition, First Printing, New York, NY"
30737194530,
30736082254,Berkley Books
30648474659,Simon & Schuster
30137491656,tower
30406109942,Panther Books
30733118490,Random House Publishing Group
30053403427,Monarch Notes
30602634771,"Duell, Sloan and Pearce, New York, NY"
19062008056,"The Prairie Press, 1966"
30137494440,"berkley book,"
18458388866,"Galaxy, NY"
10436241196,"Thomas Y. Crowell Company., New York."
30739474960,
30137473206,Ace
30739083505,
30644172242,
30739950352,Dover
30121598318,Sterling Publishing
30575915990,Scholastic Paperbacks
30717116979,Anchor
30203092696,Rain Mountain Press
30744988985,William Morrow & Co
30310720384,Ace
30647132083,Bell
30669036419,Bantam
30268656684,
30704861605,Puffin
22615210486,Ace
30531346651,Headline
607648076,"The Belknap Press, Cambridge MA"
30708361006,"Everest Books, London, England, Great Britain, UK"
30266983201,
30377938178,
30699305106,Dover
30699458808,SparkNotes
30637134911,Ballantine
30709737079,Ballantine
30309832356,Ballantine
22299303321,"Sales Publications, Inc., New York"
30595966061,Ballantine
30568793746,
30740400350,Sterling Publishing
30735397395,Dell Pub Co
30556606540,Random House Publishing Group
30577545886,SparkNotes
