book,author
30726857697,0
6289006299,1
30354314363,2
30428585060,3
30636277564,4
14883183609,5
822212931,6
30418872003,3
30287631422,7
1550125451,8
30697356726,9
30137469766,10
189472654,11
22916774504,12
22422624086,13
30662833572,14
30614776407,8
30737952910,15
11380859030,11
30694937015,16
30671520483,17
30140241473,18
30615204321,19
823293040,8
30362456248,20
30665742486,21
30265372055,22
30712311881,23
30015358564,20
30749797369,11
30095683067,5
30652067418,24
30028993415,25
30359738117,26
30329763735,27
30737698817,1
30686232758,28
30737743689,29
30320983832,11
30137478754,30
6774804172,11
22648683565,5
22494417343,26
8246190622,29
30604786599,1
22513525406,31
5832979961,26
30381402514,11
30137477804,11
30686147550,1
30037449660,32
30407712304,8
30736082254,11
30648474659,20
30137491656,33
30733118490,34
30053403427,35
30602634771,5
19062008056,4
10436241196,8
30739474960,36
30137473206,10
30644172242,32
30739950352,34
30121598318,34
30575915990,37
30717116979,29
30203092696,38
30744988985,39
30310720384,1
30669036419,40
30704861605,41
22615210486,42
30531346651,43
30377938178,44
30637134911,26
30709737079,1
30740400350,17
30735397395,16
30556606540,21
30577545886,17
30716428273,46
19095751319,26
30723439423,43
30749307377,3
30415626040,8
114761838,4
684210019,4
22420062805,26
3001480206,47
30667604154,29
30281998593,5
30714902240,48
30736083255,35
30736520672,8
1284941630,49
30740021376,35
2337216202,4
30651516898,40
19016533949,5
22789582708,1
30027561735,16
30711417302,42
30621293980,20
30150294488,50
30694833960,21
30230577991,26
30737438311,35
22457824068,51
21337423311,52
30364452564,5
7059163101,52
30571389945,2
30443444031,52
12266457281,1
30685407896,11
30742905930,19
18670992715,52
30259804923,53
4800293611,11
10523283000,46
30582626647,26
30580093443,3
30587436982,8
30575242715,20
46718605,11
30599151486,1
22420041337,11
30588282465,5
30590799112,54
344406900,4
11028834911,8
30137492539,55
1329938320,4
30740123224,41
30694611592,41
22408985165,11
30197432915,4
30457658985,56
30652282012,29
30532009766,57
30740925296,41
22859119226,3
30435374169,58
30697302406,59
30646187673,26
30716996565,20
30509889426,54
40813675,11
30415047848,29
30637735652,60
30745968139,46
30509620097,61
30357780594,61
30043939509,62
30523278020,63
633199459,64
30749640801,65
30690843618,17
30698085470,21
9393539240,11
30688895014,34
14871608608,5
30739086975,67
17764494169,14
5064367118,11
25847721,8
20175045909,8
19739115009,8
30694769362,68
22401195877,69
30486448234,21
30741543462,70
30585401520,26
30715437196,71
30711577499,48
1960367911,29
30573251856,4
30196014724,5
30737293692,73
30704999104,52
30723751050,74
30717417732,40
30725912905,5
30696231202,75
30272458924,76
30247698777,77
21778647822,53
13775122406,55
30723005572,35
59774732,4
30137481206,78
30361293933,5
30367742933,9
30711004495,1
30641107562,20
1332186599,52
30219324066,79
30240773316,8
16601861016,52
30627202852,50
8287033199,3
30220749798,4
30081841788,80
30380185734,4
30728311263,1
30738770497,81
30574893008,43
30724605991,14
30697482032,25
30423330766,82
30455054143,20
1189096663,16
30709623518,40
30747905988,21
30739507889,46
30623672915,4
30107584278,52
30693780549,35
30734796063,34
30739366106,41
10143453335,8
30388205260,8
20786306689,52
22655464749,26
30697976951,83
30740102781,34
30037829003,14
30310719495,1
17113280935,13
22413833850,84
30740302761,85
18881098334,54
30741076802,40
30297674658,79
14461306502,4
30564861907,20
887444363,26
22665761599,55
30503773406,1
14387395892,5
30575183071,86
14760079735,1
30128892406,36
30616155790,29
1276326196,87
30138198842,20
30081968584,11
30592961305,5
22505002886,3
22864299824,17
20901949556,11
30737477296,41
30560226658,88
30716039028,89
30608064210,52
30697725272,90
22920435840,5
30429627216,40
30739093721,91
30695691023,3
30492338849,52
9393539241,11
30635726921,20
30699210314,92
30611095641,50
30081528101,3
96728547,11
9994028217,4
30331447564,5
30575356422,52
30740332284,35
22561590994,4
30744590446,54
30690941775,93
30584465208,11
30699596227,94
20561629548,21
3065816212,46
30711911351,43
30744100669,17
20763549628,11
30315259206,1
30575376123,95
30657354415,28
30127701519,52
30331824529,96
22643675978,13
30739281775,35
208647507,14
30718304854,21
30699107842,54
30278214662,26
744381506,97
3486692753,16
30699607140,98
30739909979,16
30688491824,20
30407664192,99
936183263,4
22790827045,4
30097124362,13
16933703021,3
22912234499,100
22844622385,29
30663995331,42
18592289238,8
30120915052,40
30451867865,54
30617153652,8
30279070323,8
30644524153,101
988184408,31
20836404026,1
8750025355,14
30035583277,29
30265798621,102
15214784236,16
30517743453,11
30137470431,10
30697802744,83
14624563746,26
30733433437,8
17841460782,4
30699590849,103
30656595127,42
22414932296,43
5467327846,1
30650143310,1
30359727277,26
30734269861,35
21435012672,8
30619188959,35
30727955385,34
30722925006,24
30109825679,52
30577466750,43
30739039039,41
22413816038,84
18356462011,104
30734728448,16
30709735179,1
30046197905,1
30137477805,11
14094264197,80
30629068276,105
30731097466,20
30739713862,41
30728260211,17
30049240809,1
30669033753,41
30650033577,3
30012150326,52
1157181464,58
30602639459,5
30264450895,11
2845020490,3
30669039982,3
30343910155,21
18584675456,11
22899483069,11
16426233795,64
30571085212,106
8068292423,55
30310726915,1
941021824,26
30699460396,17
30740240668,35
13518434237,11
30306098271,39
30698073958,54
1229370967,107
30341594685,35
10345263742,3
22413529671,84
30740310873,41
30738963155,34
30598692738,16
30643746337,63
242855190,16
30137479596,30
22420042428,11
30093652186,11
12070838690,52
30699581663,20
30644930295,17
30487942690,29
30660208730,1
30282667972,26
22844627902,1
3401872846,14
1271852724,4
30750290164,108
30699607199,109
30734675343,1
947110148,26
30110390901,3
30731166952,26
30743799149,40
30617590604,21
30114331307,4
30715374093,54
30643303028,20
30631305067,52
30737557303,77
30697854779,111
30604711648,42
30667320412,1
397777360,4
30310723061,1
30608592108,62
18457810512,26
1008300612,26
417289862,8
30666177659,1
316920310,8
30540334680,19
30441745879,3
30709883822,17
14883183389,5
30605256010,112
30551329046,1
17116511336,42
30725407017,17
22848025857,42
30747195415,3
14831130684,10
18310960596,57
30699658999,99
30687490095,4
618303378,4
30162462378,11
30731341707,113
30714634532,21
22727220399,29
30179160581,64
30584466073,11
30415063986,11
30697579549,43
7049342152,4
30748028157,8
30737598825,34
30632090035,21
19554743349,14
18914649994,42
30739896116,16
19058327481,29
30034628224,54
30697385590,2
14782003164,26
30737382765,43
30406242111,3
1020963208,26
204909201,14
30696513007,46
8689789262,5
30305787945,114
30014215773,115
30205422814,43
30300354284,9
30457662678,20
30730221953,1
30583574832,11
30172412570,20
30310726934,1
30595274354,20
30334965305,116
30644603954,26
30699584829,117
30729683991,54
81958212,32
30422098003,52
3608642811,26
30137472012,101
1309179668,4
30327092146,26
30577516135,54
30697669973,118
30707192131,14
30743776479,35
7197157986,8
30137465364,5
30508753623,8
30303392962,119
30613790640,19
30743805448,17
22620324936,26
30623449786,4
30082118437,17
30139051885,120
15187076054,26
30650044176,17
30738907487,16
30714210676,1
30626980066,52
30624126421,9
5634516588,29
10990527575,8
22660349164,4
30137474197,121
30436898962,16
30239167897,5
30335456922,11
30660759432,122
30740018960,1
30708994987,54
30664240926,43
30699282992,123
22381663271,46
12419968416,125
5467347098,11
21848684869,3
30255420066,13
30741152302,40
30323616542,63
30662306246,1
13975773140,8
21839895179,8
30398768741,16
30721282214,20
30697799943,94
30738657319,35
30496214371,16
30718099993,93
30080487732,3
30137480266,78
30419256332,42
30719433924,54
30434770218,127
30739859784,1
30103571077,21
30584464273,11
30748664923,40
30739479439,41
30663607141,16
22812581449,26
30739189760,34
30669019502,40
30663651446,88
30667005728,29
30665046726,52
30326194729,8
30326985537,40
30048438698,11
30748468633,40
30588992322,42
30137481197,30
30333858914,128
30737329914,41
30707495609,3
30697795338,52
30137474194,121
30606266938,35
30559377298,8
30705676271,54
12606323899,41
2992155501,16
22520788031,4
14913038423,26
30537995294,1
2826479,112
30301890227,5
30647105673,46
30628547573,19
30625159988,5
30310713855,1
30702935616,40
912915344,26
30080039525,8
30313195870,13
30665862953,32
30738493108,41
30732941584,16
30590031362,4
30699290334,25
30742721254,129
30258273083,26
10141179516,46
22594340305,11
30137470433,10
30575323379,27
11800510178,50
30710660721,52
30430211662,130
30726243328,20
30737525333,131
30665833368,5
30748023673,54
1058066057,8
30738347373,16
30643297497,20
30738248497,29
30367514525,52
30538818571,17
30657037242,13
30737245358,34
30706933760,132
30733344749,133
30718682962,17
30556399073,26
30523186646,17
30734217513,54
30743257139,8
30137491647,4
30191207695,1
720184571,26
22523931843,64
30617865091,20
30692770710,134
30630537430,135
6929475639,4
30738824911,1
30313259468,5
30621579656,135
1971730398,136
30259412450,100
30733069823,35
10390215385,14
22890297791,5
22505124632,3
30696156597,75
22408988278,11
30699868421,137
27059037,14
30719364395,11
30175024279,11
2795338710,42
30032906202,113
10253443391,53
30543697288,11
22505003481,3
30627143714,50
30179502854,8
30365542322,20
30735331325,21
30505774641,20
30405755303,26
21419752,4
30605055028,40
30349208601,11
5334849969,26
586706972,138
30617831644,139
758139714,140
30384218741,11
898001281,4
15525845142,64
8644770135,46
30656874668,40
30697790977,28
22877616178,141
30733180192,11
30238555834,117
303692372,8
30538101288,142
22531841507,3
30706474914,29
362354844,26
30149718025,143
30737635312,34
30255639397,26
30303597004,4
22844627983,1
30454911106,1
30733393192,8
10236871331,11
30116002775,8
30582848774,14
30080476038,11
30614250089,5
30520520867,117
30615967183,1
30722595391,16
30253520540,1
22844627890,1
30741989918,40
30747254267,11
30699080560,36
22817138505,8
30324835559,29
30620683091,17
30109149713,4
30647249176,13
30551329039,1
20572902642,4
30118845605,52
30739756250,34
30748178759,113
30742101855,1
30053817990,4
30746115884,46
30536870648,144
30367168499,42
18572144197,4
30753139562,24
30271232517,76
30602369998,63
30699267039,42
22920888415,4
14461313120,4
1270420421,4
30272466981,76
609409907,146
30404064304,5
30663797167,32
16588001628,52
30137479617,78
22540662528,3
30571379234,11
30665131907,40
30611167775,102
30711729066,16
30694786234,21
30412935345,147
5428788399,1
30704210286,148
30487834402,4
30693672779,17
152665796,149
22408985163,11
19972923403,26
98716627,26
30210928493,90
10042376522,11
30358520547,26
30137483087,30
30137467240,150
30548120455,151
30663429107,14
30290118605,152
30744317539,16
30615832236,11
30536903962,144
30736427041,40
30697861109,153
18518594470,4
30354638602,3
30166317999,53
30649338159,4
30722939150,40
30132927534,42
30237339011,20
30470510220,154
30496814437,13
30660746851,155
30628688820,105
792263735,16
13911965627,42
12613821190,136
30692887045,21
30743842382,17
22408991012,11
30738616102,16
30750813660,5
12059030439,1
30637008458,26
30283016423,156
30230418521,5
30411497940,11
197729822,14
30533825586,157
30556625638,106
30606964444,21
30697849688,20
30732922681,35
12582942135,41
30715383922,20
1083466282,158
30737771175,159
30234056309,21
30740769467,17
9061568763,14
22516161984,17
30723750082,42
12220754484,11
30711924640,17
30711982418,54
30740677926,1
30737369099,35
30657359046,27
30688805911,34
5642072649,11
30748223212,29
2845020492,3
30220750658,4
30575196945,27
30310716799,1
30616208200,160
30723874912,77
22607281731,50
30740761903,20
30547846221,5
15188396493,161
226751730,11
30327159411,1
30310719623,1
30310717455,11
30626762830,43
30749398161,162
4785261960,163
30740254160,164
30370986346,4
15453811073,63
30739835435,34
30422383221,20
18720729558,23
30732993858,91
30739714864,16
16776959296,54
30747916416,16
17004357656,11
30259629672,40
21733240388,64
30663106817,8
22420043329,11
30707076242,165
30699272601,166
18440112995,26
22420065033,8
30616978431,1
15039149220,1
30622250736,3
30699303224,13
30614157218,3
19586146168,11
30230570919,5
30740281702,11
30728439724,9
30737115307,35
30705914204,42
30699012964,21
30277064592,32
30324134990,77
30073791822,52
22539795352,8
30618902668,167
30082091534,21
30699603832,5
30301439914,25
30647053255,3
30324230737,26
30591576566,11
16881755652,14
30278697293,32
172778114,4
30715057262,117
77404867,8
30727848969,21
30137544965,42
30647532444,168
12754088828,69
30257722657,42
22020192669,11
22849166915,42
19650898911,26
30564375343,68
30666949187,13
22578928888,4
30086149946,13
30601364324,26
19247665284,11
30339603406,40
30339141978,26
30688968393,17
30357684266,42
30656825065,169
30642465549,40
30698947950,17
30723884338,1
30239175924,5
30611199162,50
30604164320,43
30736436596,152
434818342,46
30224374603,21
30210709685,43
30187959914,4
22629698800,35
30643301988,20
30475795560,4
5064367117,11
30609761065,29
30656854583,40
22420041434,26
10448242450,1
30617429147,87
22505124663,3
30716888222,35
30663306778,43
30661516953,26
30551324251,1
30276686276,171
12220754483,11
30137497304,33
22773467887,50
30359761004,8
30662797376,4
22388352252,4
1428681247,26
22418989022,61
30741854154,172
1094685496,8
30552011094,17
30739812948,41
15296155760,11
30405814296,40
16594898283,11
827075202,4
30646844413,20
22786084357,3
30697334982,142
30738567671,34
30137492542,55
30688735121,34
30137482099,30
30667605177,29
30551329919,1
