author,about_auth
"ABBOTT, NABIA","Nabia Abbott was born in Turkey in 1897. As a young child she was taken by her family across the Middle East to India, where she was educated in British schools and remained until after the First World War. Later she lived in Iraq and finally in the United States, where in 1933 she became the first female faculty member of the Oriental Institute of the University of Chicago. A leading scholar of Arabic, she specialised in deciphering early Islamic papyri. Abbott was the author of seven books and dozens of magazine articles. She died in 1981.                         "
AGATHA CHRISTIE,Agatha Christie (1890-1976) is deemed the most popular mystery writer of all time and the world's bestselling author. She achieved Britain's highest honor when she was made a Dame of the British Empire. The Mystery Writers of America awarded her their first-ever Grand Master Award in 1954.                        
ALMA FLOR ADA,"THE ACADEMY OF NUTRITION AND DIETETICS, formerly the American Dietetic Association, is the largest group of food and nutrition professionals in the world. As the advocate of the dietetic profession, the Academy serves the public by promoting optimal nutrition, health, and well-being.G. BRIAN KARAS has illustrated dozens of popular books, including Cinder-Elly and Sleepless Beauty by Frances Minters, Saving Sweetness and Raising Sweetness by Diane Stanley, and the HiRise Private Eyes beginning-reader series by Cynthia Rylant. He lives in Rhineback, New York.                        "
AMBROSE BIERCE,"AMBROSE BIERCE (1842-1913) American satirist, critic, short story writer, editor and journalist. He is perhaps most famous for his serialized mock lexicon, THE DEVIL'S DICTIONARY in which, over the years, he scathed American culture and accepted wisdom by pointing out alternate, more practical definitions for common words.                        "
AMBROSE GWINNETT BIERCE,"Ambrose Bierce was an American editorialist, journalist, short story writer, fabulist, and satirist.                        "
AMELIA EDWARDS,"Amelia Edwards, a book designer and art director, is a recipient of the Eleanor Farjeon Award for her outstanding contribution to children�s books. She lives in Lincolnshire, England.Martina Jirankova-Limbrick�is the author-illustrator of�The Artful Alphabet.�As well as illustrating, she also exhibits as a fine artist. She was born in the Czech Republic and now lives in England.                        "
ANDRE NORTON,"For well over a half century, Andre Norton has been one of the most popular science fiction and fantasy authors in the world. Since her first SF novels were published in the 1940s, her adventure SF has enthralled readers young and old. With series such as Time Traders, Solar Queen, Forerunner, Beast Master, Crosstime, and Janus, as well as many stand-alone novels, her tales of action and adventure throughout the galaxy have drawn countless readers to science fiction. Her fantasy, including the best-selling Witch World series, her Magic series, and many other unrelated novels, has been popular with readers for decades. Lauded as a Grand Master by the Science Fiction Writers of America, she is the recipient of a Life Achievement Award from the World Fantasy Convention. Not only have her books been enormously popular; she also has inspired several generations of SF and fantasy writers, especially many talented women writers who have followed in her footsteps. In the past two decades she has worked with other writers on a number of novels. Most notable among these are collaborations with Mercedes Lackey, the Halfblood Chronicles, as well as collaborations with A.C. Crispin (in the Witch World series) and Sherwood Smith (in the Time Traders and Solar Queen series). An Ohio native, Ms. Norton lived for a number of years in Winter Park, Florida, and now makes her home in Murfreesboro, Tennessee, where she continues to write, and presides over High Hallack, a writers' resource and retreat.                        "
ANDREW LANG,"Andrew Lang (March, 31, 1844 July 20, 1912) was a Scottish writer and literary critic who is best known as a collector of folk and fairy tales. Lang s academic interests extended beyond the literary and he was a noted contributor to the fields of anthropology, folklore, psychical research, history, and classic scholarship, as well as the inspiration for the University of St. Andrew s Andrew Lang Lectures. A prolific author, Lang published more than 100 works during his career, including twelve fairy books, in which he compiled folk and fairy tales from around the world. Lang s Lilac Fairy and Red Fairy books are credited with influencing J. R. R. Tolkien, who commented on the importance of fairy stories in the modern world in his 1939 Andrew Lang Lecture On Fairy-Stories.                        "
ARTHUR CONAN DOYLE,"Arthur Conan Doyle was born in Edinburgh in 1859 to Charles and Mary Doyle. From 1876 to 1881 he studied at the University of Edinburgh Medical School, and in 1882 he moved to Portsmouth to set up a medical practice. During quiet periods in his surgery, he wrote stories, and in 1886, his first Sherlock Holmes novel, A Study in Scarlet was published. Arthur Conan Doyle's creation was a great success, and he wrote 56 short stories and 4 novels on the famous detective over the next 40 years. Arthur Conan Doyle died in 1930 at the age of 71.                        "
ARTHUR MILLER,"American dramatist Arthur Miller was born in New York City in 1915. In 1938 Miller won awards for his comedy The Grass Still Grows. His major achievement was Death of a Salesman, which won the 1949 Pulitzer Prize for drama and the 1949 New York Drama Critics' Circle Award. The Crucible was aimed at the widespread congressional investigation of subversive activities in the US; the drama won the 1953 Tony Award. Miller's autobiography, Timebends: A Life was published in 1987.                        "
AUGUST DERLETH,"August Derleth (1909-1971) published more than 150 books of all genres, including such sagas as Wind over Wisconsin, the Judge Peck mysteries, and numerous tales of horror, fantasy, and the supernatural. Railroad historian H. Roger Grant is professor of history at Clemson University; his introduction to this edition of The Milwaukee Road provides the story of the book's original publication and a short history of the Milwaukee after 1948.                        "
"AUSTEN, JANE","Author of the masterpieces Pride and Prejudice and Emma, Jane Austen (1775 - 1817) is one of the best-loved novelists of all time. Novelist, dramatist and television screenwriter is best known for her works The Lives and Loves of a She-Devil and The Cloning of Joanna May. Her most recent novel was the controversial The Bulgari Connection.                        "
BIERCE AMBROSE,"Journalist, short story writer, and satirist Ambrose Bierce (1842-1914) was equally adept in a variety of genres, from ghost stories to poetry to political commentary. Bierce's fiction is particularly distinguished by its realistic depictions of the author's Civil War experiences.                        "
"BIERCE, AMBROSE","A veteran of the American Civil War who fought at Shiloh and Chickamauga in the Union ranks, Bierce became one of America's best-known writers and journalists, admired for his insolent, entertaining and sometimes courageous columns. In 1913 he set off for Mexico, then in the throes of revolution, and was never seen again. Ralph Steadman is the author of many illustrated books including Sigmund Freud, I Leonardo, The Big I Am, The Scar-Strangled Banner, Alice and Animal Farm. His most recent publication is the novel, Doodaaa.                        "
"BIERCE, AMBROSE GWINNETT","Ambrose Bierce was an American editorialist, journalist, short story writer, fabulist, and satirist.                        "
"BLAVATSKY, HELENA","Nicholas Goodrick-Clarke, General Editor of the Western Esoteric Masters Series is Professor of Western Esotericism at the University of Exeter and director of its Centre for the Study of Esotericism. He has published studies on Paracelsus, John Dee, Cornelius Agrippa, Emanuel Swedenborg, and Helena Blavatsky. His pioneering work, The Occult Roots of Nazism has been translated into nine languages.                        "
"BLAVATSKY, HELENA PETROVNA","G. R. S. Mead is regarded as a pioneer in the field of Gnostic and Hermetic studies. A highly intuitive scholar, Mead joined the company of Madame Blavatsky and her close associates. In this circle, he learned the profound mysteries of the Gnostics and became a translator of these writings. Mead evidently suffered some scholarly prejudice because of his connections with Theosophy. However, he also visited with C. G. Jung during his last years, and Jung thanked him for his dedicated work, his outstanding use of the English language, and for his affinity toward the experience of Gnosis.                        "
BRACKETT LEIGH,"Kirby Heyborne is an accomplished actor, musician, and comedian who has received a number of AudioFile Earphones Awards for his audiobook narrations. He has had starring roles in over a dozen features and many short films. Kirby is also a cofounder and director of the Los Angeles-based improv comedy group The Society.                        "
"BRACKETT, LEIGH",Award-winning narrator RICHARD FERRONE is a lawyer-turned-actor who spent eight years with the Tony Award-winning Trinity Repertory and then Tony Randall's National Actors Theatre. He has appeared on several popular TV series including Law & Order and Against the Law.                        
