,author
0,"Orwell, George"
1,"Burroughs, Edgar Rice"
2,Oscar Wilde
3,Lin Carter
4,"Derleth, August"
5,August Derleth
6,Margaret Alice Murray
7,Betty Swinford
8,"Bulfinch, Thomas"
9,Bram Stoker
10,"BRACKETT, LEIGH"
11,"Carter, Lin"
12,"DERLETH, August"
13,Ambrose Bierce
14,"Donnelly, Ignatius"
15,"Lang, Andrew"
16,"Christie, Agatha"
17,Jane Austen
18,Eth Clifford
19,Ignatius Donnelly
20,Charles Dickens
21,Edgar Rice Burroughs
22,ignatius donnelly
23,Bierce Ambrose
24,Andrew Lang
25,Fritz Leiber
26,"Brackett, Leigh"
27,William Shakespeare
28,Ralph Waldo Emerson
29,"Dickinson, Emily"
30,"CARTER, LIN"
31,"BULFINCH, Thomas"
32,"Blavatsky, Helena Petrovna"
33,"Derleth, august"
34,"Dickens, Charles"
35,"Austen, Jane"
36,agatha christie
37,James Gelsey
38,Stephanie Emily Dickinson
39,Roger Zelazny
40,Agatha Christie
41,"Doyle, Arthur Conan"
42,Leigh Brackett
43,Arthur Conan Doyle
44,Clare Winger Harris
45,"SparkNotes, Jane Austen"
46,"Bierce, Ambrose"
47,"Andersen, Poul"
48,Dover Thrift Editions
49,BRACKETT Leigh
50,Helena Petrovna Blavatsky
51,IGNATIUS DONNELLY
52,Thomas Bulfinch
53,LEIGH BRACKETT
54,Emily Dickinson
55,"DERLETH, AUGUST"
56,Carol Costello
57,"BULFINCH, THOMAS"
58,"CHRISTIE, Agatha"
59,Henry James
60,Bulfinch Thomas
61,"Carter,Lin"
62,Rupert Hughes
63,"Blavatsky, Helena"
64,BRACKETT LEIGH
65,David Drake
66,Editor August Derleth
67,"Abbott, Nabia"
68,Charles Fort
69,THOMAS BULFINCH
70,Mary Wollstonecraft Shelley
71,Sir Thomas Malory
72,"Derleth, August William"
73,CHRISTIE AGATHA
74,Brackett Leigh
75,"BLAVATSKY, HELENA PE"
76,Crichton Andrew
77,"Polidori, John William"
78,"Carter, lin"
79,Herman Melville
80,"Hughes, Rupert"
81,MOORCOCK MICHAEL
82,Leigh Douglas Brackett
83,Jules Verne
84,Wallis Budge
85,"Leiber, Fritz"
86,Suzanne Church
87,EDGAR RICE BURROUGHS
88,Joseph Campbell
89,Andrew Offutt
90,Pierre Loti
91,"Loti, Pierre"
92,Abraham Merritt
93,"Miller, Arthur"
94,Laurence M Janifer
95,Thomas Moore
96,HELENA PETROVNA BLAVATSKY
97,CHARLES DICKENS
98,H G Wells
99,Lord Dunsany
100,"Fort, Charles"
101,"BIERCE, AMBROSE"
102,Sophia Lane Poole
103,Edgar Allan Poe
104,"Bulfinch,Thomas"
105,Andrew Crichton
106,"Swift, Johnathan"
107,"Brackett,Leigh"
108,"Palmer, Raymond"
109,Samuel Katz
110,"SparkNotes, Charles Dickens"
111,Dickens Charles
112,"Wellman, Manly Wade"
113,Rachel Carson
114,Mark Twain
115,"Humphries, Andrew"
116,ambrose bierce
117,August William Derleth
118,"Vance, Jack"
119,Andre Norton
120,Carys Cragg
121,"Brackett, leigh"
122,Walt Whitman
123,William Faulkner
124,"Bierce, Ambrose Gwinnett"
125,"Budge,Sir Wallis"
126,"Blavatsky, Helena Petrova"
127,Charles DICKENS
128,James Henry Gray
129,Henry David Thoreau
130,AUGUST DERLETH
131,lin carter
132,Hugo Gernsback
133,"Campbell, Joseph"
134,Leigh BRACKETT
135,Helena Blavatsky
136,Doyle Arthur Conan
137,Sydney Van Scyoc
138,ANDERSEN Poul
139,John Mandeville
140,Derleth August
141,"DONNELLY, Ignatius"
142,Jack Vance
143,Michael Moorcock
144,"Smith, Clark Ashton"
145,"Blavatsky, Helena Petrowna"
146,"Daniken, Eric Von"
147,FAMOUS FANTASTIC MYSTERIES
148,Daniel Defoe
149,"BRACKETT, Leigh"
150,august derleth
151,"christie, agatha"
152,Ramsey Campbell
153,Arthur Miller
154,Tanya Barnard
155,Rozanne Lanczak Williams
156,"Murray, Margaret Alice"
157,Poul Andersen
158,ARTHUR CONAN DOYLE
159,"John, Ivor Bertram"
160,Johnathan Swift
161,EMILY DICKINSON
162,Arthur Machen
163,"CRICHTON, Andrew"
164,"Campbell, Ramsey"
165,"Burroughs,Edgar Rice"
166,Graham McNamee
167,William Blake
168,Eric VON DANIKEN
169,JANE AUSTEN
170,Agatha Christie Mallowan
171,Marilyn Jax
172,Caitlin Matthews
173,"Carson, Rachel"
174,Jon Longhi
175,AGATHA CHRISTIE
176,Paolo Sedazzari
177,"Spengler, Oswald"
178,Palmer Raymond
179,Brackett leigh
180,"Budge, Wallis Sir"
181,"Blavatsky, Helena P"
182,Donnelly Ignatius
183,"DONNELLY, IGNATIUS"
