book,binding
30577519075,0
30726857697,0
6289006299,63
30354314363,63
30428585060,63
30636277564,2
30473751592,0
30337423703,0
14883183609,0
98082475,3
30723122513,4
823826796,63
822212931,3
30095710798,0
30418872003,0
30632395990,0
30287631422,0
1550125451,63
24246484,5
30266962238,6
30697356726,0
18385031906,3
30305442772,0
10888942506,3
30137477279,0
30137469766,0
189472654,3
22916774504,5
22422624086,2
30662833572,5
30614776407,63
30737952910,4
11380859030,7
30694937015,5
30671520483,63
30140241473,4
30554055674,8
30615204321,0
823293040,5
30000214918,120
30362456248,10
30665742486,63
30665976502,0
22543314164,2
30699156943,0
30265372055,6
22879541801,4
30712311881,4
30015358564,63
30287592558,4
30749797369,4
30697816940,0
30570556952,4
30095683067,5
30652067418,0
30028993415,4
30359738117,5
30329763735,0
30737698817,4
30686232758,0
30425838269,11
30737743689,4
30183179393,5
30320983832,63
30137478754,0
6774804172,4
22648683565,63
22494417343,0
8246190622,5
30604786599,63
22513525406,4
5832979961,63
2795338706,63
30381402514,63
30429762138,5
998637035,11
2671035441,63
3654291430,12
30137539540,4
30137477804,0
30686147550,63
30699880571,0
30037449660,5
30407712304,13
30282570146,14
30737194530,4
30736082254,0
30648474659,63
30137491656,0
30406109942,3
30733118490,4
30053403427,4
30602634771,15
19062008056,5
30137494440,0
18458388866,11
10436241196,5
30739474960,4
30137473206,0
30739083505,4
30644172242,4
30739950352,4
30121598318,4
30575915990,0
30717116979,0
30203092696,0
30744988985,5
30310720384,63
30647132083,5
30669036419,63
30268656684,6
30704861605,4
22615210486,3
30531346651,0
607648076,15
30708361006,2
30266983201,6
30377938178,0
30699305106,0
30699458808,0
30637134911,63
30709737079,4
30309832356,3
22299303321,17
30595966061,63
30568793746,4
30740400350,63
30735397395,4
30556606540,63
30577545886,0
22769487174,4
30716428273,5
30127853508,18
30733293954,4
19095751319,63
30723439423,6
15362937128,19
30749307377,4
30415626040,5
30712018015,2
10301020323,3
30275974063,0
114761838,5
684210019,5
22420062805,20
3001480206,15
30666564546,5
30228415401,5
14407574795,3
30667604154,0
30687961273,0
30734501872,0
30733616052,0
30281998593,184
30714902240,0
30736083255,63
30736520672,5
22460401805,2
1284941630,0
30740021376,4
30324233101,4
30356009620,0
2337216202,5
30651832922,0
544738317,5
30651516898,0
22719066369,3
19016533949,0
22789582708,63
30027561735,0
30711417302,63
30137495559,4
30621293980,0
30150294488,5
30694833960,63
30230577991,4
30737438311,4
22457824068,5
21337423311,5
22552642457,5
30364452564,5
30711207118,63
7059163101,5
30571389945,0
30466178294,5
30687807982,0
30322074022,0
22665761592,2
30443444031,5
12266457281,63
30271292761,6
30685407896,63
30661431097,0
1115359369,11
30604210482,0
30742905930,5
30268484086,6
30005420507,5
30268503328,6
18670992715,63
30259804923,4
30618024753,0
30738811879,4
4800293611,63
10523283000,22
30110201905,4
11144279544,4
30582626647,0
30580093443,0
30057305211,0
1239335062,0
30737970613,4
30747390092,5
30587436982,4
30109124174,4
30575242715,0
30663351563,5
46718605,63
30599151486,63
22420041337,20
30588282465,0
30590799112,5
22299303250,17
344406900,5
11028834911,5
30591014746,23
30137492539,5
1329938320,0
30740123224,4
30694611592,4
22408985165,63
30197432915,5
30457658985,0
30652282012,4
30532009766,5
30740925296,4
22859119226,63
30435374169,0
30697302406,0
30646187673,2
30626768990,5
30716996565,0
30509889426,0
21050369474,5
40813675,63
30415047848,5
30637735652,4
30745968139,4
30509620097,3
30231736183,2
30357780594,3
30043939509,5
30523278020,4
633199459,0
30577492549,5
30137500277,4
30749640801,0
30690843618,0
30698085470,63
30728851749,63
30709066755,5
9393539240,63
30688895014,4
14871608608,0
30435106493,0
30739086975,4
17764494169,3
5064367118,63
25847721,5
20175045909,5
30029272789,63
30461486152,0
30699613723,0
19739115009,5
30659362866,0
30473471035,5
30694769362,0
22401195877,3
22843857327,5
30722927985,5
30486448234,5
30741543462,63
30725378274,3
30585401520,63
30715437196,63
30137503012,4
30711577499,0
1960367911,0
30573251856,63
30743477989,4
30196014724,5
30737293692,4
30704999104,0
4818056145,24
30723751050,4
30717417732,0
30725912905,3
30696231202,25
30272458924,6
30247698777,4
1302998503,5
30267959290,6
2795338714,63
21778647822,3
30137537842,4
30699234738,5
13775122406,4
1173875456,3
30152958171,63
30749579524,5
30723005572,0
59774732,15
30137481206,0
30549198023,4
30361293933,63
30367742933,0
30711004495,63
21815712871,0
10809012555,5
20255302976,3
19176555837,5
11484784088,92
30408501711,5
30665138860,63
30537882309,2
11230005921,5
30641107562,4
30612308762,0
1332186599,5
30219324066,0
30240773316,5
2808967626,4
16601861016,0
30627202852,0
30449762981,0
8287033199,63
30698862500,0
30443549242,5
30317299379,4
30220749798,5
30081841788,5
30211999832,5
30380185734,15
22786083983,92
30268660201,6
30728311263,63
30738770497,4
21303620300,0
30574893008,0
30137478272,0
30724605991,28
30697482032,5
30423330766,4
30455054143,10
1189096663,63
30709623518,63
17696362080,2
30747905988,63
30739507889,4
30623672915,30
30107584278,0
30695379950,5
30693780549,4
30666029271,0
9841085388,2
22870036444,4
30037646311,4
30734796063,0
30699617283,0
30739366106,4
10143453335,5
30388205260,5
20786306689,5
22655464749,31
30265140479,6
30697976951,0
30740102781,4
30037829003,3
30310719495,63
30610906983,0
17113280935,3
30737755197,4
22413833850,5
30740302761,4
30512664529,32
18881098334,4
30741076802,63
30610813171,0
30297674658,0
14461306502,33
30264707718,6
30265656701,6
30137568612,4
18354419443,11
30564861907,63
69200906,5
887444363,5
22446180899,5
30687840922,0
22665761599,2
30503773406,63
14387395892,5
30575183071,0
14760079735,3
30128892406,0
9129035422,5
1167839056,0
30268990770,6
30616155790,30
30271300060,6
30718318090,63
1276326196,4
30663647828,0
11672098347,13
30138198842,0
733629620,3
22832680654,2
30081968584,3
30508728017,0
30592961305,0
22505002886,0
22864299824,0
20901949556,63
30223640558,0
30737477296,4
4438884576,34
22903503869,4
30560226658,0
30265656702,6
30716039028,0
30608064210,0
30526715675,11
30697725272,5
22920435840,3
18059780116,0
30467346924,0
30429627216,63
30519370763,11
30739093721,4
30137524497,0
30720535119,0
30695691023,63
30492338849,0
2668030251,5
9393539241,63
30635726921,63
30536795653,28
13242169842,4
30699210314,0
30611095641,0
30631549724,0
30081528101,4
96728547,5
9994028217,15
30452707454,5
30331447564,4
30551096218,0
30575356422,0
30740332284,4
22561590994,3
30262334579,4
30645418748,5
30744590446,0
30519830708,5
19559446,5
30690941775,0
7195463142,36
30584465208,0
30632190818,0
30699596227,0
30336147779,5
20561629548,4
30560237127,4
3065816212,92
22665761594,2
30711911351,0
12989079999,63
30744100669,0
7204212085,5
20763549628,22
30315259206,63
30618449371,0
21838804627,4
30575376123,5
22903497230,3
30657354415,5
30327696752,4
20167376980,4
30127701519,30
30331824529,0
30350286961,4
22643675978,4
30739281775,4
208647507,15
30699636526,0
30718304854,63
401064106,3
30038764305,63
30699107842,0
30614464357,5
30444237425,24
30278214662,4
744381506,4
3486692753,3
30699607140,0
30739909979,4
30171796156,5
30688491824,63
30407664192,0
936183263,63
30603251266,37
22618053029,0
14781987053,0
22790827045,5
30718198751,5
30097124362,5
16933703021,120
30573253743,0
22912234499,4
30573818208,0
22844622385,5
30733482713,4
30708525922,5
30663995331,4
18592289238,18
30427437327,0
30738820534,4
30120915052,4
30451867865,0
30617153652,5
30279070323,5
30557455949,3
332500200,63
30644524153,4
22574614745,11
18817841822,3
988184408,5
22832596608,5
17224495014,5
30396297462,5
20836404026,63
8750025355,5
30035583277,5
372101494,0
30252606551,63
30731346808,5
30699465836,0
30665810940,0
22849748471,2
30548474487,63
30265798621,6
15214784236,63
30455557752,0
30517743453,0
30137470431,0
30697802744,63
14624563746,3
30733433437,4
17841460782,5
30699590849,0
30656595127,63
22414932296,3
30651729029,0
5467327846,63
30650143310,0
174123078,5
30231752057,0
30210813419,5
30359727277,2
1428828955,184
22396068331,5
30734269861,0
30708388698,0
21435012672,5
30264424954,0
30271636535,6
30619188959,63
21989645123,11
5709075622,11
30580856790,11
30727955385,4
30722925006,0
30109825679,4
30577466750,0
30739039039,4
10634213556,11
30724454461,5
22543314165,2
22413816038,5
6281847943,3
18356462011,5
30305435577,222
30734728448,0
30709735179,4
30697328697,63
30738960471,4
30699286058,5
30689007217,4
30046197905,63
30137477805,0
14094264197,5
30629068276,30
30731097466,0
30607332863,0
22862772844,4
30724603773,0
30230904477,5
30739713862,4
30728260211,4
30049240809,3
30688945248,4
30669033753,63
30650033577,63
30012150326,6
1157181464,3
30602639459,15
30264450895,184
30737581156,4
2845020490,63
30669039982,63
30343910155,63
22773182451,11
18584675456,63
22899483069,0
16426233795,40
30571085212,15
30282669014,63
8068292423,37
30310726915,63
941021824,63
30699460396,0
30740240668,4
1189938012,5
30465560756,63
13518434237,63
30306098271,0
30549457625,3
30698073958,0
1229370967,3
30341594685,4
30645261991,63
10345263742,5
22413529671,5
30740310873,4
30308963798,42
30337235707,0
30738963155,4
9126714053,5
30598692738,0
30643746337,4
30137482110,0
30713312479,4
242855190,4
30357111963,0
30734270760,63
30605454533,5
1958318699,2
1157901907,0
30330554660,0
30137479596,0
22420042428,20
30093652186,63
30704187229,5
12070838690,5
30699581663,0
30644930295,0
30575717889,3
30487942690,0
30660208730,63
30275929196,4
30282667972,5
22844627902,43
30280716015,44
3401872846,5
1271852724,63
30750290164,5
22485404304,63
30699607199,63
10107176741,11
20098125515,11
30176097287,3
30734675343,63
10634213567,11
947110148,0
22414932201,3
30733582226,4
30110390901,4
30042015887,3
30731166952,63
30743799149,63
30617590604,63
30114331307,5
30715374093,0
30643303028,0
60883878,4
30631305067,0
30737557303,4
30697854779,5
30604711648,63
30667320412,63
397777360,3
30310723061,63
30608592108,5
19084570205,4
18457810512,63
1042246748,11
1008300612,63
544738311,5
417289862,63
30666177659,0
316920310,63
30540334680,5
30137464447,4
30441745879,4
30709883822,0
14883183389,0
30731407417,5
30162330579,11
30605256010,5
30551329046,63
30217004123,5
30291741798,0
17116511336,0
30725407017,3
22848025857,184
30588909382,0
30747195415,63
14831130684,3
18310960596,3
22745556192,11
30699658999,0
30563827866,5
22903762228,3
30687490095,0
618303378,5
30162462378,0
30630089657,0
30752042137,0
30386094182,4
30731341707,63
30714634532,63
22020197117,24
30722054778,0
22727220399,30
30179160581,22
30584466073,0
30415063986,22
30507064040,3
30443504726,4
30456229492,0
30628477366,0
30216667091,4
30697579549,0
7049342152,3
30748028157,5
30737598825,4
30644182427,0
30716645061,5
30632090035,63
19554743349,4
30605374861,0
18914649994,4
30697821225,0
30739896116,4
30137473213,0
544088755,3
19058327481,4
30034628224,0
30661074755,0
30697385590,0
14782003164,63
30737382765,4
30690847647,5
401064296,3
30576275144,4
30266645941,6
30406242111,3
1020963208,63
30270302005,6
204909201,5
30650027921,63
30696513007,4
8689789262,5
30305787945,0
30014215773,4
30205422814,5
30300354284,0
30359715131,2
30457662678,0
30730221953,63
30688734352,4
30583574832,0
30266552600,6
30697395354,5
30172412570,63
30310726934,63
30137572140,4
3982214550,3
65620710,63
30223844943,0
30650031662,63
30210700862,5
30595274354,0
30334965305,30
30644603954,2
30699584829,5
30729683991,0
81958212,5
22392792244,3
30422098003,5
3608642811,63
30267796990,6
30598468844,63
22579404968,2
30137472012,5
1309179668,5
30327092146,4
30744579236,2
807199071,4
30577516135,63
30697669973,4
758566061,2
30210601584,6
30707192131,5
30743776479,4
7197157986,5
30137465364,0
30508753623,5
30137574958,4
30303392962,63
3205896145,63
30137499062,0
30137545936,4
30613790640,5
30743805448,0
22620324936,45
30623449786,3
30082118437,4
30139051885,0
15187076054,4
22649162019,2
72217938,5
22851285250,5
5537434218,63
30650044176,63
20538601532,0
30698084609,0
30738907487,4
30714210676,4
30029726828,5
30626980066,6
30624126421,0
30265297647,6
30734750885,63
5634516588,5
10990527575,15
30005418875,5
30583410323,5
1291114339,4
4666573473,0
30733118237,4
22660349164,3
30163567950,5
30662106251,0
30137474197,0
30436898962,0
30722962571,0
30239167897,3
30335456922,0
30660759432,0
30740018960,4
30210901893,47
30708994987,0
30664240926,0
30699282992,0
22381663271,4
8451604478,5
12419968416,5
22596630447,4
5467347098,63
21848684869,63
30255420066,63
30741152302,5
30323616542,4
30662306246,63
19574871268,4
13975773140,5
21839895179,5
30398768741,5
5709075621,11
30721282214,63
30697799943,0
30738657319,4
30496214371,5
30718099993,0
30080487732,3
30137480266,0
30419256332,0
30592234846,4
2954452664,0
30719433924,63
30434770218,0
30137592729,4
21578257415,3
22899601986,3
30739859784,4
30694826649,63
30718202130,5
30103571077,63
30584464273,0
30705401355,4
30748664923,5
30577421289,10
30739479439,4
30663607141,63
30303788662,4
30716886268,5
22812581449,18
1189031272,48
30739189760,4
1308467866,3
30621263646,0
30669019502,63
30663651446,63
22414932200,3
30266989674,6
30667005728,0
30665046726,5
1308458766,0
30210811471,47
30729075563,5
30326194729,4
30326985537,0
30117074783,2
30048438698,3
30599596234,5
14332901695,2
30748468633,0
30588992322,3
30137481197,0
30732531530,5
30333858914,5
22299303248,17
16611516310,30
30737329914,4
30707495609,5
30733198758,4
30697795338,0
30137474194,0
30606266938,0
30559377298,5
30279254168,4
30737561394,4
30702694325,63
30705676271,0
21348881529,4
22877828723,37
30434580952,11
12606323899,5
30575377469,0
30425046635,4
2992155501,63
22520788031,5
14913038423,63
30537995294,0
2826479,49
30301890227,4
30647105673,4
30686914541,63
30628547573,30
30625159988,3
30310713855,63
30702935616,63
30219171266,5
912915344,0
30080039525,5
30313195870,5
30665862953,5
30738493108,4
30732941584,4
30590031362,5
14781989509,22
30699290334,0
30742721254,0
30258273083,63
10141179516,0
30436824880,0
22594340305,4
30137470433,0
30575323379,5
11800510178,5
30710660721,5
22610147009,63
30595939810,5
30430211662,4
20543218067,63
30631467632,0
30726243328,0
30737525333,4
119929444,0
30665833368,5
16930900445,63
30708949552,63
30748023673,5
30745957188,0
30660923527,0
22575766170,2
1058066057,5
30306579912,63
30738347373,4
30643297497,0
1031685420,3
30738248497,4
30367514525,5
918921099,4
30538818571,3
30657037242,4
30737245358,4
30082148548,3
30699604781,5
30706933760,63
65853181,2
1978280450,3
30708708616,4
30733344749,4
275352520,3
30692362401,0
1046762509,0
19593306436,3
30718682962,0
30556399073,63
30523186646,0
30734217513,5
30012305301,4
30743257139,4
30746033606,4
30137491647,4
30266523672,6
30191207695,4
720184571,63
30683695026,0
30266563989,6
22523931843,0
30137461622,4
30698067646,0
30514017249,5
30424441940,3
30332224873,5
30617865091,63
30692770710,0
837170227,5
30630537430,0
30603312370,0
6929475639,15
30738824911,4
30313259468,63
30621579656,4
18273784288,6
30422007325,50
1971730398,51
30698782892,0
30259412450,3
30733069823,4
18217724726,13
10390215385,5
21662450135,14
