book,condition,price,JacketCondition,Book_Info_ID,publisher_ID
30577519075,very good,$3.65 ,,0,1072
30726857697,good,,,1,1
6289006299,good,$2.99 ,,2,2
30354314363,very good,$3.80 ,,3,3
30428585060,good,$4.87 ,,4,4
30636277564,very good,$14.95 ,,5,5
30473751592,good,$4.29 ,,6,6
30337423703,good,$10.00 ,,7,7
14883183609,good,$14.57 ,,8,8
98082475,,$7.50 ,,9,2
30723122513,good,$3.98 ,,10,9
823826796,good,$1.99 ,,11,10
822212931,,$7.50 ,,12,11
30095710798,very good,$6.94 ,,13,1072
30418872003,very good,,,14,12
30632395990,good,$8.96 ,,15,10
30287631422,very good,$3.51 ,,16,13
1550125451,good,$10.00 ,,17,14
24246484,,$16.50 ,,18,1072
30266962238,new,$31.28 ,,19,
30697356726,very good,$3.80 ,,20,16
18385031906,good,$25.00 ,,21,17
30305442772,good,$3.51 ,,22,18
10888942506,good,$2.00 ,,23,19
30137477279,,$4.00 ,,24,1072
30137469766,,$10.00 ,,25,2
189472654,good,$2.00 ,,26,20
22916774504,,$27.50 ,,27,21
22422624086,,$4.95 ,,28,1072
30662833572,,$100.00 ,,29,22
30614776407,good,$1.99 ,,30,9
30737952910,good,$4.00 ,,31,
11380859030,,$2.00 ,,32,23
30694937015,good,$99.99 ,,33,24
30671520483,very good,$4.46 ,,34,25
30140241473,very good,$3.32 ,,35,26
30554055674,good,$2.00 ,,36,27
30615204321,,$23.99 ,,37,28
823293040,very good,$12.00 ,good,38,29
30000214918,good,$1.00 ,good,39,30
30362456248,,$4.34 ,,40,
30665742486,good,$5.76 ,,41,20
30665976502,very good,$3.79 ,,42,31
22543314164,,$4.95 ,,43,32
30699156943,very good,$3.61 ,,44,33
30265372055,new,$42.29 ,,45,
22879541801,very good,$6.49 ,,46,34
30712311881,new,$1.01 ,,47,1072
30015358564,good,$3.97 ,,48,9
30287592558,good,$6.49 ,,49,2
30749797369,very good,$4.70 ,,50,35
30697816940,good,$3.51 ,,51,26
30570556952,new,$6.66 ,,52,
30095683067,very good,$13.00 ,fair,53,36
